Solution,RMSE,C1,C2
"[0.8719161  0.38631882 0.54943217 0.77516367 0.70005094 0.33069406
 0.12390444 0.35645341 0.19251138 0.74076295 0.55435494 0.36489206
 0.29046444 0.93192759 0.40781664 0.15958898 0.86617335]",0.033382138691847245,0.0018715259767368604,-0.0009056599194841065
"[0.87276498 0.39450437 0.55160807 0.78567647 0.68796339 0.33348308
 0.10747849 0.36888341 0.19871556 0.73083815 0.55673989 0.34319036
 0.28618793 0.91773601 0.40790232 0.14976397 0.86978974]",0.03410472053582825,0.00047029233918455954,-0.0006654428918093924
"[0.89148174 0.37817929 0.55402777 0.77871653 0.70164842 0.33755113
 0.12140369 0.35506971 0.1799077  0.73770289 0.57516746 0.34284042
 0.29579911 0.92517606 0.42358615 0.14585066 0.86222597]",0.03415870386898078,0.002194241901629295,-0.0013898462434041511
"[0.87803294 0.40369242 0.52495116 0.7731616  0.71849594 0.333976
 0.12713895 0.35612694 0.16906643 0.7321466  0.57113546 0.32394032
 0.2738915  0.90066656 0.374462   0.15160076 0.8502588 ]",0.034270781339294405,0.0036296680361038967,-0.0011250651450969151
"[0.87732266 0.39243227 0.55541816 0.77509478 0.69418145 0.33110479
 0.12027938 0.3524871  0.19869545 0.73585899 0.55719437 0.36270864
 0.29253111 0.92911202 0.4083902  0.16104655 0.86927457]",0.03448009098284778,-3.0275201264699098e-05,-0.0007334794891855553
"[0.87505632 0.39674324 0.55010102 0.77596076 0.6891693  0.32930892
 0.12166216 0.35264479 0.20213024 0.73807006 0.55998776 0.36756907
 0.29416105 0.93524478 0.41141833 0.15673291 0.8721014 ]",0.03448961011723679,0.0002366965761298953,-0.0008685384029615238
"[0.77496253 0.380646   0.44595952 0.80114291 0.66709994 0.38465743
 0.2285991  0.29007244 0.23204682 0.8209304  0.52795514 0.21253988
 0.25635217 0.82808242 0.35795938 0.0095903  0.82977052]",0.03449841101033068,0.003116057336813867,-3.47009798202548e-05
"[0.88014246 0.39487832 0.55966762 0.77087878 0.68819531 0.32546532
 0.11935037 0.35075698 0.2007119  0.73338783 0.56094914 0.35967185
 0.29525591 0.93431065 0.41186735 0.16287226 0.86610378]",0.03455131077643394,0.00015103662144643967,-0.0008197319076502507
"[0.87989086 0.38880155 0.56053243 0.76933582 0.69170603 0.33308482
 0.12611005 0.35756383 0.19447012 0.73604839 0.55695443 0.35777047
 0.29180422 0.92693862 0.40888632 0.1670016  0.87219902]",0.03460251442632673,-0.0003377832500873375,-0.0006440621521749609
"[0.8887248  0.38697211 0.55073225 0.78208595 0.69562909 0.33848308
 0.11290714 0.35436906 0.19967675 0.73861996 0.55160199 0.36318379
 0.27773916 0.92304693 0.40704712 0.159541   0.87607328]",0.03461424007619282,-0.0007510925950151778,-0.0005349215395044175
"[0.87804448 0.39389489 0.55571777 0.77379685 0.69542429 0.33183691
 0.12106546 0.35230286 0.1993681  0.73666315 0.55638763 0.36395322
 0.29121598 0.92757124 0.40921125 0.16027319 0.87066321]",0.034639692391277094,-0.0003974816291552642,-0.0006600139420322934
