Solution,RMSE
"[0.76441359 0.07518719 0.37479329 0.58510295 0.31432108 0.73327878
 0.54440941 0.8899221  0.18330396 0.00579671 0.92461063 0.21570931
 0.18292313 0.42251536 0.67232421 0.47809422 0.74183881 0.09783193
 0.87373624 0.11158816 0.94292277 0.9010711  0.91389119 0.23208142
 0.44403595 0.10199552]",0.029690378644602434
"[0.76439432 0.07520288 0.3748012  0.58509944 0.31431611 0.73326526
 0.54439465 0.88992379 0.18331864 0.00579531 0.92459371 0.21572242
 0.18292071 0.42250587 0.67232816 0.47808373 0.74183764 0.09781892
 0.87375743 0.11159948 0.9429261  0.9010675  0.91390112 0.23209353
 0.44403416 0.10199477]",0.029690403639810275
"[0.76434893 0.07512628 0.37476774 0.58502741 0.31426456 0.73317138
 0.54444573 0.88990515 0.18328885 0.00580038 0.92455933 0.21570517
 0.18304552 0.42257548 0.67236021 0.47805643 0.74181112 0.097799
 0.87372715 0.1115717  0.94285079 0.90114249 0.9138712  0.23199068
 0.44407935 0.10197593]",0.02969074260251791
"[0.764374   0.07515392 0.37476525 0.58508731 0.31426456 0.73320191
 0.54439593 0.88986933 0.18335589 0.00579675 0.92455933 0.21573757
 0.18298781 0.42251221 0.67245061 0.47808623 0.74189998 0.09772863
 0.87381191 0.11162222 0.94281782 0.90107193 0.91387982 0.23199068
 0.44406033 0.10200489]",0.029691074402339316
"[0.76440198 0.07519317 0.37480248 0.58509688 0.31432108 0.73327551
 0.54439985 0.889919   0.18329902 0.00579393 0.9246095  0.21570931
 0.18291107 0.42251964 0.67233513 0.47810173 0.74184161 0.09784007
 0.87374514 0.11158851 0.9429125  0.90106891 0.91390178 0.23207894
 0.44403159 0.10200555]",0.02969119960388546
"[0.7644129  0.07519093 0.37480248 0.58512124 0.31433741 0.7332731
 0.54439776 0.88992168 0.18329517 0.00579743 0.92460013 0.21568551
 0.18292313 0.42250844 0.67232547 0.47809422 0.74182106 0.09781338
 0.87374201 0.1115783  0.94294455 0.90106511 0.91389119 0.23210943
 0.44403159 0.10199683]",0.02969191401922114
"[0.76438827 0.07521376 0.37478585 0.58512576 0.31432108 0.7332957
 0.544417   0.88989988 0.18331646 0.00579531 0.9246232  0.21570931
 0.18290008 0.42253672 0.67234541 0.47809422 0.74185144 0.09781287
 0.87374201 0.11158326 0.94294526 0.90104805 0.913913   0.23210511
 0.4440245  0.10198372]",0.02969280305115938
"[0.76443893 0.07523965 0.37476883 0.58512621 0.31432108 0.73335363
 0.54431107 0.88995164 0.18337417 0.00579675 0.92462075 0.21567743
 0.18287763 0.42256988 0.67238187 0.47812326 0.74187504 0.09785508
 0.87365176 0.11162222 0.94290092 0.90099662 0.91385387 0.23196305
 0.44413028 0.10200489]",0.029692964365792524
"[0.764374   0.07519317 0.37489879 0.58510678 0.31432108 0.73325908
 0.54434428 0.88985892 0.18339982 0.00579675 0.92466547 0.21566325
 0.18292583 0.42249395 0.67236566 0.47808623 0.74186253 0.09778648
 0.87373065 0.11164135 0.94293525 0.90096976 0.91382797 0.23205221
 0.44414291 0.10200489]",0.029693244523688333
"[0.76439417 0.07517373 0.37480248 0.58509244 0.3143139  0.73326281
 0.54441646 0.8899113  0.183303   0.0057994  0.92460013 0.21569125
 0.18292313 0.42253259 0.67232816 0.47807154 0.74182375 0.09783193
 0.87372097 0.11158905 0.94294645 0.90105998 0.91386696 0.23208715
 0.44405224 0.10199044]",0.029693463081203037
"[0.76440735 0.0752359  0.37487757 0.58514286 0.3142798  0.73327979
 0.54443728 0.88995164 0.18333262 0.00579675 0.92460013 0.21566325
 0.18292839 0.4224872  0.6723693  0.47808652 0.74179771 0.09774471
 0.87370641 0.11166021 0.94285521 0.90103575 0.91389371 0.23206899
 0.44406033 0.10202269]",0.02969350453641026
"[0.764374   0.07515392 0.37467343 0.58508181 0.31421686 0.73326004
 0.54436265 0.88983783 0.18333518 0.00579675 0.92455579 0.21573757
 0.18300471 0.42251221 0.67238243 0.47808623 0.74185248 0.09772863
 0.87372067 0.11166118 0.94287007 0.90116047 0.91388609 0.23201166
 0.44412492 0.1020595 ]",0.02969373559781229
"[0.76440198 0.07519712 0.37480962 0.58511963 0.31430954 0.73325654
 0.54439776 0.88991996 0.18330444 0.00579222 0.92461259 0.21570931
 0.18292313 0.42249957 0.67231048 0.47808516 0.74185084 0.09785101
 0.87374201 0.11157811 0.94290338 0.90105998 0.91390219 0.23209137
 0.44403752 0.10202453]",0.029694340790381087
"[0.76440953 0.07518511 0.37480248 0.58509164 0.31432598 0.73326526
 0.54438984 0.88992672 0.18332954 0.00579832 0.92458931 0.2157081
 0.18292915 0.42250381 0.67232816 0.47809617 0.74182366 0.09783014
 0.87373987 0.11160396 0.94294001 0.90104778 0.91390126 0.2320863
 0.44401933 0.10201444]",0.029694567045568946
"[0.76426852 0.07498543 0.37476525 0.58500687 0.314279   0.73320191
 0.54445751 0.88986933 0.18335589 0.00579675 0.9245669  0.21573909
 0.18298781 0.42261387 0.67258473 0.47825799 0.74189998 0.09772863
 0.87367591 0.11148051 0.94296452 0.90099748 0.91389793 0.23199068
 0.44408909 0.10215811]",0.029694604573814495
"[0.76439269 0.07519317 0.37481052 0.58509447 0.31432477 0.73326154
 0.54438615 0.88992168 0.18331791 0.00579874 0.92459721 0.21571984
 0.18291788 0.42250978 0.67233622 0.47810076 0.74182637 0.09783014
 0.8737524  0.11159338 0.94292915 0.90105313 0.913902   0.23208863
 0.44403606 0.10201911]",0.029695263034098848
"[0.76448923 0.07527666 0.3751467  0.58491739 0.31416344 0.73355712
 0.54457704 0.88965672 0.18342151 0.00579675 0.9244986  0.21583715
 0.18284534 0.42230638 0.67245061 0.47794499 0.74222052 0.09772863
 0.87409212 0.11185425 0.94258821 0.90132599 0.91387982 0.2322611
 0.44394792 0.10200489]",0.029695732014795913
"[0.76428162 0.07515392 0.37470659 0.5850753  0.31433124 0.73322929
 0.54432537 0.88986688 0.18329826 0.00579675 0.92455933 0.21576141
 0.18293556 0.42251221 0.67245061 0.47802935 0.7419469  0.09777956
 0.87385544 0.11162222 0.94281782 0.90113499 0.91386135 0.23208343
 0.44406033 0.10199662]",0.02969610938075193
"[0.76442256 0.07519451 0.37478104 0.58512392 0.31430573 0.73328501
 0.5444117  0.88992168 0.18329936 0.00580011 0.92460318 0.21571303
 0.18292179 0.42252924 0.67231503 0.47810176 0.74183583 0.09783193
 0.87374201 0.11158136 0.94291349 0.90107246 0.91390869 0.23207122
 0.44403932 0.10199206]",0.029696659372986343
"[0.76439752 0.07518638 0.37480078 0.58509103 0.314322   0.73326526
 0.54439368 0.88992173 0.18332702 0.00579315 0.92458372 0.21572606
 0.18291158 0.42250978 0.67233024 0.47809422 0.74182533 0.09782058
 0.87373532 0.11160487 0.94293267 0.90105852 0.91389191 0.23209492
 0.44403033 0.10200697]",0.029697978518900298
"[0.76438064 0.07520495 0.37485093 0.5851795  0.314301   0.7332688
 0.54441856 0.88997945 0.18331018 0.00580328 0.92460013 0.21561535
 0.18294905 0.42255874 0.67239343 0.47805238 0.74182401 0.09779994
 0.87373065 0.11165066 0.94284433 0.9010529  0.91393997 0.23204376
 0.44406033 0.10198219]",0.02969947402337496
"[0.76461756 0.07497797 0.37472836 0.58492308 0.31391539 0.73320191
 0.54432284 0.88948211 0.18335589 0.00579675 0.92426892 0.21596157
 0.18302486 0.42255986 0.67267993 0.47818243 0.74185373 0.09746425
 0.87345278 0.11197462 0.94268399 0.90087055 0.91353425 0.23233391
 0.44395522 0.10205616]",0.02970076068492807
"[0.76440028 0.07519904 0.37479998 0.58508413 0.31432544 0.73326086
 0.54439521 0.88991592 0.18332784 0.00580233 0.92458204 0.21570387
 0.18292373 0.42250143 0.67232816 0.4780827  0.74184212 0.09783014
 0.87375448 0.11158821 0.9429333  0.90106378 0.91389545 0.23208745
 0.44403033 0.10201008]",0.02970114670562157
"[0.76455096 0.07516593 0.37486348 0.58508731 0.31419669 0.7332386
 0.54454828 0.88986933 0.18316479 0.00579534 0.92447411 0.21586979
 0.18298781 0.42251221 0.67241529 0.47802898 0.74188168 0.09772863
 0.87384474 0.11157996 0.94285447 0.90112622 0.91403064 0.23200885
 0.444217   0.10181194]",0.029701482423842598
"[0.76453702 0.07511588 0.3751428  0.58529626 0.3149862  0.73277322
 0.54439593 0.89052179 0.18335589 0.00579675 0.92449881 0.21511047
 0.18275099 0.42189466 0.67245061 0.47865953 0.74290715 0.09836047
 0.87485109 0.11212091 0.9419392  0.90159976 0.91489054 0.23255769
 0.44524944 0.10207666]",0.029701883179489377
