real_time,real_voltage,simu_time,simu_voltage
0,3.328943,0,3.321510758727213
10,3.308121,10,3.307477196643338
20,3.298708,20,3.2934436345594635
30,3.292533,30,3.2794100724755886
40,3.288349,40,3.265376510391714
50,3.285487,50,3.251342948307839
60,3.283618,60,3.237393261723272
70,3.282428,70,3.2387089160126448
80,3.281739,80,3.2400245703020176
90,3.281348,90,3.241340224591391
100,3.281164,100,3.242655878880764
110,3.281094,110,3.2439715331701366
120,3.281121,120,3.2452811038380673
130,3.281142,130,3.246040106765449
140,3.281249,140,3.246799109692831
150,3.281321,150,3.247558112620213
160,3.28141,160,3.248317115547595
170,3.281518,170,3.249076118474977
180,3.281605,180,3.2498314155197043
190,3.281688,190,3.250364359605156
200,3.281777,200,3.2508973036906084
210,3.281855,210,3.25143024777606
220,3.281921,220,3.2519631918615124
230,3.282019,230,3.252496135946964
240,3.282082,240,3.253026353692829
250,3.282144,250,3.25343456774217
260,3.282214,260,3.2538427817915108
270,3.282282,270,3.2542509958408514
280,3.282333,280,3.254659209890192
290,3.282373,290,3.255067423939533
300,3.28242,300,3.2554734805643553
310,3.282483,310,3.255802732876325
320,3.28249,320,3.256131985188295
330,3.282543,330,3.2564612375002646
340,3.282557,340,3.256790489812234
350,3.282636,350,3.2571197421242037
360,3.282647,360,3.2574472103495933
370,3.282687,370,3.257722048020864
380,3.282736,380,3.2579968856921346
390,3.282751,390,3.2582717233634053
400,3.282776,400,3.258546561034676
410,3.282795,410,3.2588213987059467
420,3.282838,420,3.259094720838849
430,3.28284,430,3.2593299380070784
440,3.282857,440,3.2595651551753075
450,3.282889,450,3.2598003723435363
460,3.28291,460,3.2600355895117654
470,3.282925,470,3.260270806679994
480,3.282925,480,3.260504698496855
490,3.282935,490,3.2607095982525425
500,3.282929,500,3.2609144980082294
510,3.282965,510,3.2611193977639163
520,3.282971,520,3.2613242975196037
530,3.282967,530,3.2615291972752907
540,3.282969,540,3.261732922619576
550,3.282993,550,3.2619139426767623
560,3.282988,560,3.2620949627339484
570,3.282997,570,3.2622759827911345
580,3.28298,580,3.2624570028483206
590,3.28299,590,3.2626380229055068
600,3.28299,600,3.2628179833321385
610,3.282982,610,3.2629796121501853
620,3.282993,620,3.2631412409682317
630,3.283014,630,3.263302869786278
640,3.282989,640,3.2634644986043244
650,3.282986,650,3.263626127422371
660,3.28299,660,3.263786791054852
670,3.282978,670,3.263932362694855
680,3.282978,680,3.264077934334858
690,3.282986,690,3.2642235059748606
700,3.282954,700,3.2643690776148633
710,3.282963,710,3.2645146492548665
720,3.282944,720,3.2646593325497646
730,3.282937,730,3.264791356926924
740,3.282923,740,3.264923381304083
750,3.282916,750,3.265055405681242
760,3.282903,760,3.2651874300584014
770,3.282887,770,3.26531945443556
780,3.282874,780,3.265450656207921
790,3.282855,790,3.2655711008406088
800,3.282838,800,3.265691545473296
810,3.282838,810,3.265811990105984
820,3.282812,820,3.265932434738672
830,3.282795,830,3.26605287937136
840,3.282797,840,3.2661725571198024
850,3.28277,850,3.266282977479856
860,3.282755,860,3.26639339783991
870,3.282744,870,3.2665038181999635
880,3.282693,880,3.266614238560017
890,3.282681,890,3.266724658920071
900,3.282679,900,3.2668343608732697
910,3.282653,910,3.2669360166696926
920,3.282632,920,3.2670376724661154
930,3.282632,930,3.2671393282625387
940,3.282592,940,3.2672409840589616
950,3.282581,950,3.2673426398553844
960,3.282549,960,3.2674436138770684
970,3.282521,970,3.2675374718749137
980,3.282501,980,3.267631329872759
990,3.282466,990,3.267725187870604
1000,3.282469,1000,3.2678190458684493
1010,3.282452,1010,3.267912903866294
1020,3.282424,1020,3.26800613984829
1030,3.282401,1030,3.2680933020284635
1040,3.28236,1040,3.2681804642086365
1050,3.282324,1050,3.26826762638881
1060,3.28231,1060,3.268354788568983
1070,3.282269,1070,3.2684419507491564
1080,3.282261,1080,3.268528501748691
