real_time,real_voltage,simu_time,simu_voltage
0,3.328943,0,3.3104238811805073
10,3.308121,10,3.271096316630677
20,3.298708,20,3.2317687520808467
30,3.292533,30,3.192441187531016
40,3.288349,40,3.19782006448875
50,3.285487,50,3.203198941446484
60,3.283618,60,3.2085628227660443
70,3.282428,70,3.211197497938007
80,3.281739,80,3.2138321731099704
90,3.281348,90,3.216466848281933
100,3.281164,100,3.219101523453896
110,3.281094,110,3.2217361986258592
120,3.281121,120,3.224358089324933
130,3.281142,130,3.2258229852275226
140,3.281249,140,3.227287881130113
150,3.281321,150,3.2287527770327027
160,3.28141,160,3.2302176729352925
170,3.281518,170,3.2316825688378823
180,3.281605,180,3.233139653707746
190,3.281688,190,3.2341280766140312
200,3.281777,200,3.2351164995203168
210,3.281855,210,3.2361049224266023
220,3.281921,220,3.237093345332888
230,3.282019,230,3.238081768239173
240,3.282082,240,3.2390645818158497
250,3.282144,250,3.2397963778925227
260,3.282214,260,3.240528173969196
270,3.282282,270,3.241259970045869
280,3.282333,280,3.241991766122542
290,3.282373,290,3.242723562199215
300,3.28242,300,3.243451007004973
310,3.282483,310,3.2440235465661624
320,3.28249,320,3.2445960861273515
330,3.282543,330,3.245168625688541
340,3.282557,340,3.24574116524973
350,3.282636,350,3.2463137048109196
360,3.282647,360,3.2468827187390534
370,3.282687,370,3.247347726492054
380,3.282736,380,3.2478127342450547
390,3.282751,390,3.2482777419980557
400,3.282776,400,3.2487427497510564
410,3.282795,410,3.249207757504057
420,3.282838,420,3.2496698149166376
430,3.28284,430,3.25005769234152
440,3.282857,440,3.2504455697664025
450,3.282889,450,3.2508334471912845
460,3.28291,460,3.251221324616167
470,3.282925,470,3.2516092020410494
480,3.282925,480,3.2519945577416416
490,3.282935,490,3.252324750723394
500,3.282929,500,3.252654943705146
510,3.282965,510,3.2529851366868985
520,3.282971,520,3.2533153296686512
530,3.282967,530,3.2536455226504035
540,3.282969,540,3.253973519242453
550,3.282993,550,3.254259052300243
560,3.282988,560,3.2545445853580337
570,3.282997,570,3.254830118415824
580,3.28298,580,3.2551156514736146
590,3.28299,590,3.255401184531405
600,3.28299,600,3.255684784960422
610,3.282982,610,3.255934950911661
620,3.282993,620,3.2561851168628992
630,3.283014,630,3.256435282814138
640,3.282989,640,3.2566854487653765
650,3.282986,650,3.2569356147166153
660,3.28299,660,3.2571840542303314
670,3.282978,670,3.257405498539152
680,3.282978,680,3.2576269428479723
690,3.282986,690,3.257848387156793
700,3.282954,700,3.258069831465613
710,3.282963,710,3.2582912757744333
720,3.282944,720,3.258511170414059
730,3.282937,730,3.2587089822676525
740,3.282923,740,3.2589067941212457
750,3.282916,750,3.2591046059748394
760,3.282903,760,3.259302417828433
770,3.282887,770,3.2595002296820264
780,3.282874,780,3.259696631924755
790,3.282855,790,3.2598746007946358
800,3.282838,800,3.2600525696645164
810,3.282838,810,3.260230538534397
820,3.282812,820,3.2604085074042772
830,3.282795,830,3.260586476274158
840,3.282797,840,3.2607631626702447
850,3.28277,850,3.2609243677755346
860,3.282755,860,3.2610855728808246
870,3.282744,870,3.2612467779861145
880,3.282693,880,3.261407983091404
890,3.282681,890,3.261569188196694
900,3.282679,900,3.2617292115886114
910,3.282653,910,3.2618759997907563
920,3.282632,920,3.2620227879929016
930,3.282632,930,3.2621695761950464
940,3.282592,940,3.2623163643971913
950,3.282581,950,3.2624631525993366
960,3.282549,960,3.262608854035474
970,3.282521,970,3.2627432123514093
980,3.282501,980,3.262877570667345
990,3.282466,990,3.26301192898328
1000,3.282469,1000,3.2631462872992154
1010,3.282452,1010,3.263280645615151
1020,3.282424,1020,3.2634139927814676
1030,3.282401,1030,3.2635374663691534
1040,3.28236,1040,3.2636609399568397
1050,3.282324,1050,3.263784413544526
1060,3.28231,1060,3.263907887132212
1070,3.282269,1070,3.264031360719898
1080,3.282261,1080,3.2641538948399424
1090,3.282244,1090,3.2642678171732706
1100,3.282178,1100,3.264381739506599
1110,3.282161,1110,3.264495661839927
1120,3.282125,1120,3.264609584173255
1130,3.282097,1130,3.2647235065065834
