Time_Sim [s],Voltage_Sim [V],Time_Exp [s],Voltage_Exp [V]
0.0,3.342998051423202,0.0,3.36032
59.93421052631579,3.250761102688147,59.93421052631579,3.3105493289473684
119.86842105263158,3.257933750275339,119.86842105263158,3.300340842105263
179.80263157894737,3.26206804603221,179.80263157894737,3.298089763157895
239.73684210526315,3.2649726500565786,239.73684210526315,3.297861842105263
299.67105263157896,3.267199907626209,299.67105263157896,3.2980088157894736
359.60526315789474,3.2689995365494697,359.60526315789474,3.298175644736842
419.5394736842105,3.270505735237932,419.5394736842105,3.2983624210526314
479.4736842105263,3.271798236091374,479.4736842105263,3.2984707368421056
539.4078947368421,3.2729279141106558,539.4078947368421,3.298580111842105
599.3421052631579,3.2739291644235315,599.3421052631579,3.298682039473684
659.2763157894736,3.2748262436072464,659.2763157894738,3.2987091315789474
719.2105263157895,3.2756369837048247,719.2105263157895,3.298743052631579
779.1447368421052,3.2763749051150564,779.1447368421052,3.2987607171052633
839.078947368421,3.2770505101234937,839.078947368421,3.298752565789474
899.0131578947368,3.2776721683133063,899.0131578947369,3.298749197368421
958.9473684210526,3.278246651801542,958.9473684210526,3.2987395789473686
1018.8815789473684,3.278779533332568,1018.8815789473682,3.2987039013157897
1078.8157894736842,3.279275493692234,1078.8157894736842,3.298645960526316
1138.75,3.279738456941123,1138.75,3.298622875
1198.6842105263158,3.28017174837246,1198.6842105263158,3.2985270263157895
1258.6184210526314,3.280578098421696,1258.6184210526314,3.298478592105263
1318.5526315789473,3.2809602183475945,1318.5526315789475,3.298426
1378.4868421052631,3.281320177865739,1378.4868421052631,3.2983375723684207
1438.421052631579,3.281659872911088,1438.421052631579,3.298251684210526
1498.3552631578948,3.2819809735851786,1498.3552631578946,3.298184138157895
1558.2894736842104,3.2822849585919274,1558.2894736842104,3.298094947368421
1618.2236842105262,3.2825731429569576,1618.2236842105262,3.298018644736842
1678.157894736842,3.28284670068623,1678.157894736842,3.2979097105263158
1738.092105263158,3.283106684070944,1738.0921052631577,3.2978052894736845
1798.0263157894735,3.283354039959499,1798.0263157894738,3.29771475
1857.9605263157894,3.2835896226995507,1857.9605263157894,3.2976191842105265
1917.8947368421052,3.2838142057036777,1917.8947368421052,3.2975096315789476
1977.828947368421,3.2840284915077147,1977.8289473684208,3.297412434210526
2037.7631578947369,3.2842331194176615,2037.7631578947364,3.2972829210526315
2097.6973684210525,3.2844286730567838,2097.6973684210525,3.2971681315789474
2157.6315789473683,3.284615686653173,2157.6315789473683,3.2970585789473685
2217.565789473684,3.284794649973536,2217.565789473684,3.296965842105263
2277.5,3.284966013432898,2277.5,3.29682225
2337.434210526316,3.2851301917897775,2337.4342105263154,3.2966939736842105
2397.3684210526317,3.2852876337149253,2397.368421052631,3.2965678421052633
2457.3026315789475,3.285438496025309,2457.302631578947,3.2964371249999997
2517.236842105263,3.2855833521388065,2517.236842105263,3.2962945394736844
2577.1710526315787,3.2857223362821664,2577.1710526315787,3.296170375
2637.1052631578946,3.285855788358141,2637.105263157895,3.296033289473684
2697.0394736842104,3.2859839711814187,2697.03947368421,3.2958785855263155
2756.9736842105262,3.286107129879226,2756.9736842105262,3.2957341710526316
2816.907894736842,3.2862254935141513,2816.9078947368416,3.29559775
2876.842105263158,3.2863392760314705,2876.842105263158,3.2954224210526313
2936.7763157894738,3.2864486777914834,2936.7763157894733,3.295265217105263
2996.7105263157896,3.2865538864230435,2996.710526315789,3.295118289473684
3056.644736842105,3.2866550779805532,3056.644736842105,3.2949584210526313
3116.578947368421,3.2867524178039975,3116.578947368421,3.2947874210526313
3176.5131578947367,3.2868460611826977,3176.513157894736,3.294611460526316
3236.4473684210525,3.286936154234885,3236.4473684210525,3.2944388815789476
3296.3815789473683,3.2870228345338743,3296.381578947368,3.29426675
3356.315789473684,3.2871062313822508,3356.315789473684,3.294099
3416.25,3.2871864667710646,3416.25,3.2939068750000002
3476.184210526316,3.28726365551719,3476.1842105263154,3.293704736842105
3536.1184210526317,3.287337905868783,3536.118421052631,3.2935108684210523
3596.052631578947,3.287409319381915,3596.0526315789475,3.293322842105263
3655.986842105263,3.2874779917125574,3655.986842105263,3.293096842105263
3715.9210526315787,3.287544012754685,3715.9210526315787,3.292889934210526
3775.8552631578946,3.2876074664066257,3775.855263157894,3.292664822368421
3835.7894736842104,3.2876684310820004,3835.7894736842104,3.292438631578947
3895.7236842105262,3.287726979339973,3895.7236842105262,3.292203539473684
3955.657894736842,3.2877831782109386,3955.6578947368416,3.2919747894736844
4015.592105263158,3.2878370886160386,4015.5921052631575,3.29171375
4075.5263157894738,3.2878887652093702,4075.526315789473,3.291464421052632
4135.460526315789,3.2879382561998876,4135.460526315789,3.291235782894737
4195.394736842105,3.287985602448648,4195.394736842105,3.2909477236842104
4255.328947368421,3.288030836652,4255.328947368421,3.2906825
4315.263157894737,3.2880739826188043,4315.263157894737,3.2904052105263157
4375.1973684210525,3.2881150538005137,4375.1973684210525,3.290107782894737
4435.131578947368,3.288154051602347,4435.131578947367,3.2897955
4495.065789473684,3.288190963553144,4495.065789473684,3.2894585
4555.0,3.2882257607118395,4555.0,3.2891215000000003
4614.934210526316,3.288258394485254,4614.934210526316,3.2887754342105264
4674.868421052632,3.288288793207153,4674.868421052631,3.2884149736842105
4734.8026315789475,3.288316857093756,4734.8026315789475,3.2880310657894736
4794.736842105263,3.2883424532504173,4794.736842105262,3.287632947368421
4854.671052631579,3.2883654089295122,4854.671052631578,3.2872282236842105
4914.605263157895,3.288385503571006,4914.605263157895,3.2867919210526315
