Time_Sim [s],Voltage_Sim [V],Time_Exp [s],Voltage_Exp [V]
0.0,3.2223171758798816,0.0,3.311722
59.666666666666664,3.169660007320644,59.666666666666664,3.2192018
119.33333333333333,3.177985083350687,119.33333333333333,3.2183258
179.0,3.1840184489798484,179.0,3.2181333999999997
238.66666666666666,3.1887278015353315,238.66666666666666,3.2178086666666665
298.3333333333333,3.19252364183581,298.3333333333333,3.2172986666666668
358.0,3.1956671345935894,358.0,3.2166462
417.66666666666663,3.1983270848898067,417.6666666666667,3.2158531
477.3333333333333,3.200614011394587,477.3333333333333,3.2149307333333335
537.0,3.2026028262171087,537.0,3.2139091
596.6666666666666,3.2043463532091856,596.6666666666666,3.212806666666667
656.3333333333333,3.2058827376117778,656.3333333333333,3.2116071333333336
716.0,3.207238947328915,716.0,3.2103566
775.6666666666666,3.208430899767957,775.6666666666666,3.2090051
835.3333333333333,3.20945662035122,835.3333333333334,3.207613133333333
895.0,3.2102782498833577,895.0,3.206185
954.6666666666666,3.2107926828041613,954.6666666666666,3.2047104
1014.3333333333333,3.2108283834118696,1014.3333333333333,3.203221166666667
1074.0,3.2102017317314333,1074.0,3.2017222
1133.6666666666665,3.2087277098608533,1133.6666666666665,3.200218366666667
1193.3333333333333,3.2061140032381332,1193.3333333333333,3.1987003333333335
1253.0,3.20178203054917,1253.0,3.197198
1312.6666666666665,3.195100315584076,1312.6666666666665,3.1956744666666665
1372.3333333333333,3.187253010558516,1372.3333333333333,3.1941197
1432.0,3.181143943094278,1432.0,3.192565
1491.6666666666665,3.1776757294683464,1491.6666666666667,3.190994
1551.3333333333333,3.176012588545154,1551.3333333333333,3.1893920666666666
1611.0,3.175269439841083,1611.0,3.1877115
1670.6666666666665,3.1749252475988214,1670.6666666666665,3.1859914666666667
1730.3333333333333,3.174719087120021,1730.3333333333333,3.1842462
1790.0,3.1745237952693177,1790.0,3.18241
1849.6666666666665,3.1742710478265583,1849.6666666666663,3.1804729666666667
1909.3333333333333,3.1739124318378518,1909.3333333333335,3.1784842
1969.0,3.173399659278644,1969.0000000000002,3.1763988999999997
2028.6666666666665,3.1726740098250636,2028.6666666666665,3.174225733333333
2088.333333333333,3.1716606098858167,2088.3333333333335,3.1719451666666667
2148.0,3.170264401626145,2148.0,3.1695134
2207.6666666666665,3.168364313332427,2207.6666666666665,3.1669719666666665
2267.333333333333,3.1658014617239925,2267.333333333333,3.1642580666666666
2327.0,3.1623609494108593,2327.0,3.1614125
2386.6666666666665,3.157757389205278,2386.6666666666665,3.158421666666667
2446.333333333333,3.15166276672122,2446.3333333333335,3.1552143333333333
2506.0,3.143831482018702,2506.0,3.1518197999999997
2565.6666666666665,3.1343326224735577,2565.6666666666665,3.1481333666666664
2625.333333333333,3.123721306744647,2625.333333333333,3.1441846666666664
2685.0,3.1129268815883773,2685.0,3.1399005
2744.6666666666665,3.102872406588868,2744.6666666666665,3.1352556
2804.333333333333,3.094086405644017,2804.333333333333,3.1301887666666666
2864.0,3.086514130151858,2864.0,3.1246052
2923.6666666666665,3.0794840603701963,2923.6666666666665,3.1183261666666664
2983.333333333333,3.071644946630812,2983.3333333333335,3.11116
3043.0,3.060606360985543,3043.0,3.1032389
3102.6666666666665,3.0419719774167024,3102.6666666666665,3.0948996666666666
3162.333333333333,3.009547795554191,3162.333333333333,3.0859794
3222.0,2.9616960243273875,3222.0,3.0752734000000004
3281.6666666666665,2.9072415369648033,3281.6666666666665,3.0604138333333335
3341.333333333333,2.853816199424208,3341.333333333333,3.0366467333333333
3401.0,2.7941120431128854,3401.0,2.9925241000000002
3460.6666666666665,2.7077784665747027,3460.6666666666665,2.9073376000000004
3520.333333333333,2.5623084916403904,3520.333333333333,2.757240366666668
3580.0,2.303559026180814,3580.0,2.499997
