Rank,Parameter,PAWN_minimum,PAWN_mean,PAWN_median,PAWN_maximum,PAWN_CV
1,Initial_concentration_in_negative_electrode,0.22829519707592338,0.42625247159430496,0.4294702043703432,0.641195440748974,0.312126788462565
2,Maximum_concentration_in_positive_electrode,0.044883578431372584,0.10406144405577766,0.11230023441062473,0.19785877650478795,0.41129749152721135
3,Negative_electrode_thickness,0.05092368833258065,0.12150086310383545,0.09524558952193429,0.2983333867704058,0.5986755486929658
4,Initial_concentration_in_positive_electrode,0.057876357301641534,0.09951889860002479,0.08802533095360235,0.1569255336582307,0.3312284448357572
5,Positive_electrode_active_material_volume_fraction,0.044183998090515264,0.09046053833025644,0.08177641871795849,0.14711092467510267,0.35983899124121743
6,Positive_electrode_thickness,0.05912990196078438,0.0808612267069703,0.07556425095474235,0.11519563312243497,0.21705359287122358
7,Positive_electrode_specific_heat_capacity,0.040337419488144066,0.06936556351450889,0.07391868095030968,0.08565294758891928,0.21565362779070568
8,Negative_current_collector_thickness,0.03712150210261911,0.07423312396722914,0.07290238867864546,0.13146365922822617,0.36382089088035013
9,electrode_height,0.028367515247378017,0.06911957356040181,0.07169318684588871,0.09972645666346813,0.32940761768709675
10,Positive_electrode_thermal_conductivity,0.03985960299817601,0.06544665679689125,0.07012669376496927,0.08475832193342459,0.2382780859182824
11,Negative_particle_radius,0.04307295229138164,0.06972303288624662,0.06799177247207028,0.10356214897550231,0.260740073841152
12,Total_heat_transfer_coefficient,0.04797491307569546,0.06875389926340542,0.06731267634233926,0.09578338437006095,0.21064694806433068
13,Maximum_concentration_in_negative_electrode,0.03621653058025537,0.07048154532542865,0.06700006946819423,0.11138898100587041,0.35225492312643475
14,Negative_current_collector_thermal_conductivity,0.0382039443684451,0.07571051418845931,0.0666155365538629,0.1265732764762882,0.40677901306311437
15,Positive_electrode_diffusivity,0.03872584644322841,0.07301724379742583,0.06658522312070292,0.15721899224806202,0.46192132838490607
16,Positive_particle_radius,0.030851003191974424,0.07764367075749072,0.0629803435101039,0.15721899224806202,0.5267113791911915
17,Negative_electrode_active_material_volume_fraction,0.04611218579001375,0.07101004143119767,0.061663007264813274,0.1144813575866393,0.30015653910189216
18,electrode_width,0.036572777730278117,0.06249866666722005,0.06055576604689347,0.0954657753362973,0.2942764310536482
19,min_voltage,0.033627132606118715,0.06448185261453587,0.05970509843627561,0.1382056365424077,0.45006337511032585
20,Positive_electrode_density,0.029621881350191892,0.05470456268206649,0.05765659734097128,0.08756065107729138,0.3096300019299645
21,Negative_electrode_thermal_conductivity,0.0433708639705882,0.06216426040739731,0.05724824904525766,0.11190880785453716,0.3363161572590628
22,Positive_current_collector_density,0.03858691005471948,0.05933321402512516,0.05595262269151846,0.07930640461126309,0.2131902958035208
23,Negative_electrode_density,0.04053914443684453,0.058297461752890946,0.05500030574998116,0.08514707663588689,0.19467618101383713
24,Separator_specific_heat_capacity,0.03400307278731085,0.05427999908828398,0.05488722105848154,0.08192571178180574,0.30501469125280134
25,Positive_current_collector_thickness,0.03137023341313272,0.053065033747327114,0.05466211739056087,0.06973137183652534,0.24775403549615668
26,Positive_electrode_Bruggeman_coefficient,0.04077115039329693,0.05488267285457592,0.05413887938896489,0.07669422238372092,0.20402401303320863
27,Negative_electrode_Bruggeman_coefficient,0.045791563354993126,0.0590542227876983,0.053816253063725505,0.0998051725841047,0.2640971800306964
28,max_voltage,0.02300555033059737,0.054956556957071044,0.05340545556885545,0.09492027188782493,0.3795092447506299
29,Positive_electrode_conductivity,0.024795955986114226,0.04802546644857423,0.05334311231760144,0.05898473124714998,0.22962846775859241
30,Negative_current_collector_density,0.03427273545100473,0.05290537147031706,0.053029614825581384,0.08182952505129959,0.29689643263417603
31,Negative_current_collector_conductivity,0.028414903900429,0.053616053838559566,0.0509761569662297,0.07661050430346561,0.24709478676448837
32,Separator_porosity,0.03619896033246783,0.05256151990529219,0.050961076989782084,0.07193787762197901,0.20467809814869414
33,Negative_electrode_conductivity,0.03209341512767894,0.05120311320579822,0.05045611178648193,0.08976225846443225,0.3105065975169292
34,Positive_electrode_porosity,0.03527752102619103,0.050683532790232834,0.049655885140661604,0.06789892555859545,0.23502704095960864
35,Negative_electrode_porosity,0.02866097383720928,0.04601904488617245,0.047477613238863486,0.06016791709416325,0.22346154146801284
36,Separator_density,0.030396913453939967,0.049918907080782185,0.046628521503077974,0.07651187485888467,0.24054369774411077
37,Positive_current_collector_conductivity,0.0322265625,0.049352288638911765,0.04618543911023712,0.07833117803807571,0.3134389896675189
38,Negative_electrode_specific_heat_capacity,0.0342438119870041,0.04896256420057863,0.04551881163075694,0.08257764406634749,0.3358004621168576
39,Separator_Bruggeman_coefficient,0.031359545998632,0.04820629041156991,0.04516685544306909,0.06923796953374373,0.2414810379095591
40,Positive_current_collector_thermal_conductivity,0.03188501054491566,0.04723729816350791,0.044219622805517556,0.07292600086080386,0.24066242381533656
41,Separator_thermal_conductivity,0.032834240587604424,0.05024013003436022,0.04194387148027817,0.09980627504797923,0.4004306586690825
42,Cation_transference_number,0.029506784121697827,0.03953558627143846,0.03893135651789789,0.05025471325355613,0.13654130101361556
