Rank,Parameter,First_Order,Total_Order,Confidence_S1,Confidence_ST
1,Initial_concentration_in_negative_electrode,0.018823374518679103,0.2138500883312145,0.17331279478828082,2.6947775661935376
2,Maximum_concentration_in_positive_electrode,0.018508393303050593,0.009790760837366267,0.03128675519823126,0.10886415143203773
3,Negative_electrode_thickness,0.010228889022351388,0.03441551496198066,0.08652103053826253,0.2900455265721634
4,Positive_electrode_thickness,0.0069776985006909445,0.17729778854689543,0.07713301839875328,2.0656821718883682
5,Initial_concentration_in_positive_electrode,0.001213397914333493,0.051642121992845125,0.0337998530210046,0.45070959349431244
6,Negative_particle_radius,0.0011156756958251564,0.02716619194295155,0.020681213365007695,0.22960731625184025
7,Positive_current_collector_thermal_conductivity,0.0,0.0,0.0,0.0
8,Negative_electrode_density,0.0,0.0,0.0,0.0
9,Positive_electrode_specific_heat_capacity,0.0,0.0,0.0,0.0
10,Positive_electrode_density,0.0,0.0,0.0,0.0
11,Negative_electrode_thermal_conductivity,0.0,0.0,0.0,0.0
12,Cation_transference_number,0.0,0.0,0.0,0.0
13,Positive_current_collector_density,0.0,0.0,0.0,0.0
14,Negative_current_collector_thermal_conductivity,0.0,0.0,0.0,0.0
15,Separator_Bruggeman_coefficient,0.0,0.0,0.0,0.0
16,Negative_electrode_specific_heat_capacity,0.0,0.0,0.0,0.0
17,Negative_current_collector_density,0.0,0.0,0.0,0.0
18,Positive_current_collector_conductivity,0.0,0.0,0.0,0.0
19,Negative_current_collector_conductivity,0.0,0.0,0.0,0.0
20,Negative_electrode_porosity,0.0,0.0,0.0,0.0
21,Positive_electrode_thermal_conductivity,0.0,0.0,0.0,0.0
22,max_voltage,0.0,0.0,0.0,0.0
23,Separator_thermal_conductivity,0.0,0.0,0.0,0.0
24,Negative_electrode_Bruggeman_coefficient,0.0,0.0,0.0,0.0
25,Positive_electrode_conductivity,0.0,0.0,0.0,0.0
26,Total_heat_transfer_coefficient,0.0,0.0,0.0,0.0
27,Separator_density,0.0,0.0,0.0,0.0
28,Separator_specific_heat_capacity,0.0,0.0,0.0,0.0
29,Positive_electrode_porosity,0.0,0.0,0.0,0.0
30,Positive_electrode_Bruggeman_coefficient,0.0,0.0,0.0,0.0
31,Separator_porosity,0.0,0.0,0.0,0.0
32,Negative_current_collector_thickness,0.0,0.0,0.0,0.0
33,Positive_current_collector_thickness,0.0,0.0,0.0,0.0
34,Negative_electrode_conductivity,0.0,0.0,0.0,0.0
35,min_voltage,-0.0014757810943724172,0.05578941750524606,0.030960907110794383,0.6626570224072258
36,Maximum_concentration_in_negative_electrode,-0.002235895577646051,0.004139034076376985,0.0054123397980688085,0.05417930002209885
37,Negative_electrode_active_material_volume_fraction,-0.0036710948963909933,0.028633784292788775,0.02368903684680705,0.26076753679788656
38,electrode_width,-0.0041569868782210155,0.02623182749684835,0.014194757878215907,0.25894806979282176
39,Positive_electrode_diffusivity,-0.022785191925799038,0.008000385671989865,0.04663211902026842,0.07993861006756349
40,Positive_particle_radius,-0.024519982708041645,0.006832768349264556,0.026607266118815708,0.0728849665572934
41,Positive_electrode_active_material_volume_fraction,-0.026542679520322358,4.920963711185729,0.1687512049188257,71.43307946044139
42,electrode_height,-0.028782024334618996,0.017585151930923658,0.04675858740852266,0.13679891263586927
