real_time,real_voltage,simu_time,simu_voltage
0,3.328943,0,3.475826095907152
10,3.308121,10,3.439218813659598
20,3.298708,20,3.402611531412044
30,3.292533,30,3.3660042491644897
40,3.288349,40,3.3293969669169354
50,3.285487,50,3.2927896846693816
60,3.283618,60,3.2563685972621776
70,3.282428,70,3.253834970798737
80,3.281739,80,3.2513013443352956
90,3.281348,90,3.2487677178718544
100,3.281164,100,3.2462340914084136
110,3.281094,110,3.2437004649449723
120,3.281121,120,3.2411911619503377
130,3.281142,130,3.2408831328826766
140,3.281249,140,3.2405751038150155
150,3.281321,150,3.2402670747473543
160,3.28141,160,3.2399590456796936
170,3.281518,170,3.2396510166120325
180,3.281605,180,3.239351195059849
190,3.281688,190,3.239543824436318
200,3.281777,200,3.2397364538127875
210,3.281855,210,3.239929083189257
220,3.281921,220,3.240121712565726
230,3.282019,230,3.240314341942195
240,3.282082,240,3.2405095925048695
250,3.282144,250,3.2408221411502187
260,3.282214,260,3.241134689795568
270,3.282282,270,3.2414472384409168
280,3.282333,280,3.241759787086266
290,3.282373,290,3.2420723357316152
300,3.28242,300,3.242385239050185
310,3.282483,310,3.2427107687354173
320,3.28249,320,3.2430362984206496
330,3.282543,330,3.243361828105882
340,3.282557,340,3.243687357791114
350,3.282636,350,3.2440128874763463
360,3.282647,360,3.244337802123442
370,3.282687,370,3.2446445731455156
380,3.282736,380,3.244951344167589
390,3.282751,390,3.245258115189663
400,3.282776,400,3.2455648862117363
410,3.282795,410,3.24587165723381
420,3.282838,420,3.246177412355387
430,3.28284,430,3.246457624835902
440,3.282857,440,3.246737837316417
450,3.282889,450,3.247018049796932
460,3.28291,460,3.247298262277447
470,3.282925,470,3.2475784747579626
480,3.282925,480,3.247857518648171
490,3.282935,490,3.248110999625419
500,3.282929,500,3.248364480602667
510,3.282965,510,3.248617961579915
520,3.282971,520,3.248871442557163
530,3.282967,530,3.2491249235344113
540,3.282969,540,3.249377206667945
550,3.282993,550,3.2496063314896717
560,3.282988,560,3.2498354563113985
570,3.282997,570,3.2500645811331252
580,3.28298,580,3.250293705954852
590,3.28299,590,3.2505228307765788
600,3.28299,600,3.2507507764134385
610,3.282982,610,3.2509583221520963
620,3.282993,620,3.2511658678907542
630,3.283014,630,3.251373413629412
640,3.282989,640,3.25158095936807
650,3.282986,650,3.2517885051067275
660,3.28299,660,3.2519949173931355
670,3.282978,670,3.2521836066080017
680,3.282978,680,3.252372295822868
690,3.282986,690,3.252560985037734
700,3.282954,700,3.2527496742525996
710,3.282963,710,3.252938363467466
720,3.282944,720,3.2531259662263357
730,3.282937,730,3.2532980869872596
740,3.282923,740,3.2534702077481836
750,3.282916,750,3.253642328509107
760,3.282903,760,3.253814449270031
770,3.282887,770,3.253986570030955
780,3.282874,780,3.2541576500465665
790,3.282855,790,3.2543151203157827
800,3.282838,800,3.254472590584999
810,3.282838,810,3.254630060854215
820,3.282812,820,3.2547875311234313
830,3.282795,830,3.254945001392648
840,3.282797,840,3.2551014882334943
850,3.28277,850,3.25524610368902
860,3.282755,860,3.2553907191445455
870,3.282744,870,3.2555353346000713
880,3.282693,880,3.255679950055597
890,3.282681,890,3.255824565511123
900,3.282679,900,3.2559682366877625
910,3.282653,910,3.256101331940878
920,3.282632,920,3.256234427193994
930,3.282632,930,3.2563675224471096
940,3.282592,940,3.2565006177002256
950,3.282581,950,3.2566337129533416
960,3.282549,960,3.2567659101702433
970,3.282521,970,3.2568887341341606
980,3.282501,980,3.257011558098078
990,3.282466,990,3.257134382061995
1000,3.282469,1000,3.257257206025913
1010,3.282452,1010,3.25738002998983
1020,3.282424,1020,3.257501989495565
1030,3.282401,1030,3.2576155078213995
1040,3.28236,1040,3.257729026147234
1050,3.282324,1050,3.2578425444730685
1060,3.28231,1060,3.257956062798903
1070,3.282269,1070,3.2580695811247375
1080,3.282261,1080,3.2581822639266456
1090,3.282244,1090,3.258287287759227
1100,3.282178,1100,3.258392311591808
