real_time,real_voltage,simu_time,simu_voltage
0,3.328943,0,3.3332320908466713
10,3.308121,10,3.317628750394277
20,3.298708,20,3.302025409941882
30,3.292533,30,3.286422069489488
40,3.288349,40,3.270818729037093
50,3.285487,50,3.255215388584699
60,3.283618,60,3.2397045678155156
70,3.282428,70,3.241032329390786
80,3.281739,80,3.242360090966056
90,3.281348,90,3.243687852541326
100,3.281164,100,3.2450156141165962
110,3.281094,110,3.2463433756918665
120,3.281121,120,3.2476648943087394
130,3.281142,130,3.2484214251906343
140,3.281249,140,3.249177956072529
150,3.281321,150,3.249934486954424
160,3.28141,160,3.250691017836319
170,3.281518,170,3.2514475487182137
180,3.281605,180,3.2522002982672924
190,3.281688,190,3.2527261678473947
200,3.281777,200,3.2532520374274974
210,3.281855,210,3.2537779070075996
220,3.281921,220,3.254303776587702
230,3.282019,230,3.2548296461678046
240,3.282082,240,3.2553527576286063
250,3.282144,250,3.25575244325071
260,3.282214,260,3.256152128872814
270,3.282282,270,3.256551814494918
280,3.282333,280,3.256951500117022
290,3.282373,290,3.2573511857391257
300,3.28242,300,3.257748661700433
310,3.282483,310,3.258067473737374
320,3.28249,320,3.258386285774315
330,3.282543,330,3.258705097811256
340,3.282557,340,3.259023909848197
350,3.282636,350,3.259342721885138
360,3.282647,360,3.2596596818546657
370,3.282687,370,3.2599220058355076
380,3.282736,380,3.260184329816349
390,3.282751,390,3.2604466537971906
400,3.282776,400,3.2607089777780325
410,3.282795,410,3.260971301758874
420,3.282838,420,3.2612320408434314
430,3.28284,430,3.261452931107123
440,3.282857,440,3.2616738213708154
450,3.282889,450,3.2618947116345076
460,3.28291,460,3.2621156018981994
470,3.282925,470,3.2623364921618916
480,3.282925,480,3.262555994045245
490,3.282935,490,3.2627451251086903
500,3.282929,500,3.2629342561721355
510,3.282965,510,3.2631233872355807
520,3.282971,520,3.2633125182990255
530,3.282967,530,3.2635016493624707
540,3.282969,540,3.2636895517824254
550,3.282993,550,3.263853700428225
560,3.282988,560,3.264017849074025
570,3.282997,570,3.2641819977198248
580,3.28298,580,3.2643461463656243
590,3.28299,590,3.264510295011424
600,3.28299,600,3.264673348819396
610,3.282982,610,3.2648174619329455
620,3.282993,620,3.2649615750464953
630,3.283014,630,3.265105688160045
640,3.282989,640,3.2652498012735944
650,3.282986,650,3.265393914387144
660,3.28299,660,3.2655370379876683
670,3.282978,670,3.265664689202705
680,3.282978,680,3.265792340417741
690,3.282986,690,3.2659199916327775
700,3.282954,700,3.2660476428478136
710,3.282963,710,3.26617529406285
720,3.282944,720,3.2663020513610395
730,3.282937,730,3.266416070344163
740,3.282923,740,3.266530089327286
750,3.282916,750,3.266644108310409
760,3.282903,760,3.2667581272935324
770,3.282887,770,3.2668721462766555
780,3.282874,780,3.266985348376584
790,3.282855,790,3.267087868157812
800,3.282838,800,3.2671903879390394
810,3.282838,810,3.2672929077202673
820,3.282812,820,3.267395427501495
830,3.282795,830,3.2674979472827226
840,3.282797,840,3.267599717660625
850,3.28277,850,3.2676924416698068
860,3.282755,860,3.2677851656789887
870,3.282744,870,3.267877889688171
880,3.282693,880,3.267970613697353
890,3.282681,890,3.268063337706535
900,3.282679,900,3.2681553706555566
910,3.282653,910,3.268239663730778
920,3.282632,920,3.268323956805999
930,3.282632,930,3.26840824988122
940,3.282592,940,3.2684925429564418
950,3.282581,950,3.268576836031663
960,3.282549,960,3.268660489006047
970,3.282521,970,3.268737460927942
980,3.282501,980,3.2688144328498363
990,3.282466,990,3.2688914047717312
1000,3.282469,1000,3.268968376693626
1010,3.282452,1010,3.269045348615521
1020,3.282424,1020,3.2691217287342758
1030,3.282401,1030,3.2691923300694263
1040,3.28236,1040,3.2692629314045774
1050,3.282324,1050,3.269333532739728
1060,3.28231,1060,3.269404134074879
1070,3.282269,1070,3.2694747354100295
1080,3.282261,1080,3.269544792407766
1090,3.282244,1090,3.269609859645867
1100,3.282178,1100,3.2696749268839675
1110,3.282161,1110,3.2697399941220686
1120,3.282125,1120,3.2698050613601697
1130,3.282097,1130,3.2698701285982708
1140,3.282061,1140,3.2699346583531566
1150,3.282051,1150,3.269994548779238
1160,3.282006,1160,3.27005443920532
1170,3.281974,1170,3.2701143296314017
1180,3.281953,1180,3.2701742200574833
1190,3.281921,1190,3.270234110483565
1200,3.281906,1200,3.2702935285989025
1210,3.281859,1210,3.2703490973816787
1220,3.281821,1220,3.2704046661644552
1230,3.281798,1230,3.2704602349472314
1240,3.281741,1240,3.2705158037300075
1250,3.281713,1250,3.2705713725127836
1260,3.281696,1260,3.2706264985442957
1270,3.281647,1270,3.270678209066057
1280,3.281624,1280,3.270729919587819
1290,3.281575,1290,3.2707816301095805
1300,3.281533,1300,3.270833340631342
1310,3.281488,1310,3.2708850511531034
1320,3.281455,1320,3.270936317471016
1330,3.281452,1330,3.2709843330243973
1340,3.281393,1340,3.271032348577778
1350,3.281331,1350,3.2710803641311594
1360,3.281298,1360,3.2711283796845403
1370,3.281274,1370,3.2711763952379216
1380,3.281242,1380,3.2712240082132777
1390,3.281202,1390,3.2712688206458505
1400,3.281136,1400,3.271313633078423
1410,3.281104,1410,3.271358445510996
1420,3.281077,1420,3.2714032579435686
1430,3.281024,1430,3.2714480703761417
1440,3.280981,1440,3.2714924954640616
1450,3.280937,1450,3.271534354393658
1460,3.280886,1460,3.271576213323254
1470,3.280858,1470,3.2716180722528505
1480,3.280803,1480,3.271659931182447
1490,3.280776,1490,3.271701790112043
1500,3.280705,1500,3.2717432840418423
1510,3.280648,1510,3.2717824711729246
1520,3.280614,1520,3.271821658304007
1530,3.28058,1530,3.271860845435089
1540,3.280551,1540,3.271900032566171
1550,3.280498,1550,3.2719392196972534
1560,3.280438,1560,3.2719780586933918
1570,3.280387,1570,3.272014795490063
1580,3.280354,1580,3.2720515322867345
1590,3.280303,1590,3.2720882690834054
1600,3.280245,1600,3.272125005880077
1610,3.280182,1610,3.272161742676748
1620,3.280141,1620,3.2721981481806135
1630,3.280069,1630,3.2722326395482657
1640,3.280035,1640,3.2722671309159184
1650,3.279978,1650,3.2723016222835706
1660,3.27994,1660,3.2723361136512232
1670,3.279893,1670,3.272370605018876
1680,3.27984,1680,3.272404778644443
1690,3.279764,1690,3.2724371933406093
1700,3.279732,1700,3.2724696080367752
1710,3.279687,1710,3.2725020227329416
1720,3.279638,1720,3.272534437429108
1730,3.279575,1730,3.272566852125274
1740,3.279515,1740,3.272598966494052
1750,3.279467,1750,3.272629486020834
1760,3.279399,1760,3.2726600055476167
1770,3.279335,1770,3.272690525074399
1780,3.279303,1780,3.272721044601181
1790,3.279257,1790,3.2727515641279634
1800,3.279185,1800,3.272781794149472
1810,3.279132,1810,3.2728105476940845
1820,3.27907,1820,3.272839301238697
1830,3.279006,1830,3.2728680547833093
1840,3.27894,1840,3.2728968083279217
1850,3.278877,1850,3.272925561872534
1860,3.278811,1860,3.272954039675036
1870,3.278743,1870,3.2729811654517045
1880,3.278695,1880,3.2730082912283733
1890,3.278631,1890,3.2730354170050417
1900,3.278576,1900,3.2730625427817106
1910,3.278489,1910,3.273089668558379
1920,3.278438,1920,3.2731165228620944
1930,3.278374,1930,3.2731420961528106
1940,3.278321,1940,3.2731676694435268
1950,3.278244,1950,3.273193242734243
1960,3.278213,1960,3.273218816024959
1970,3.278113,1970,3.2732443893156757
1980,3.278049,1980,3.2732697110662747
1990,3.277977,1990,3.2732938894527037
2000,3.277912,2000,3.273318067839133
2010,3.277827,2010,3.2733422462255626
2020,3.277765,2020,3.273366424611992
2030,3.27768,2030,3.273390602998421
2040,3.277623,2040,3.2734145335232507
2050,3.277553,2050,3.2734373778310704
2060,3.27747,2060,3.27346022213889
2070,3.277413,2070,3.2734830664467096
2080,3.277332,2080,3.2735059107545292
2090,3.27725,2090,3.273528755062349
2100,3.27718,2100,3.273551360863486
2110,3.277116,2110,3.2735729581220814
2120,3.277048,2120,3.2735945553806762
2130,3.276961,2130,3.273616152639271
2140,3.276887,2140,3.273637749897866
2150,3.276821,2150,3.273659347156461
2160,3.27673,2160,3.273680714498916
2170,3.276658,2170,3.273701143017136
2180,3.276575,2180,3.273721571535356
2190,3.276488,2190,3.2737420000535757
2200,3.276391,2200,3.2737624285717954
2210,3.276323,2210,3.273782857090015
2220,3.276223,2220,3.273803063150338
2230,3.276176,2230,3.2738223914038236
2240,3.276072,2240,3.2738417196573093
2250,3.275998,2250,3.273861047910795
2260,3.275896,2260,3.2738803761642807
2270,3.275818,2270,3.2738997044177665
2280,3.275724,2280,3.273918816477625
2290,3.275657,2290,3.2739371035881186
2300,3.275557,2300,3.273955390698612
2310,3.275478,2310,3.273973677809105
2320,3.275374,2320,3.2739919649195985
2330,3.275294,2330,3.274010252030092
2340,3.275177,2340,3.274028330347494
2350,3.275092,2350,3.2740456377365614
2360,3.275022,2360,3.2740629451256282
2370,3.274914,2370,3.2740802525146955
2380,3.274808,2380,3.2740975599037623
2390,3.274736,2390,3.2741148672928295
