0.7101,0.0251,0.3674,0.5449,0.3347,0.6985,0.6294,0.9367,0.1892,0.0064,0.9788,0.2365,0.2427,0.4167,0.6508,0.5221,0.6422,0.0942,0.7961,0.1788,0.8444,0.8283,0.8611,0.3239,0.3895,0.1498
0.7101,0.0251,0.3674,0.5449,0.3347,0.6985,0.6294,0.9367,0.1892,0.0064,0.9788,0.2365,0.2427,0.4167,0.6508,0.5221,0.6422,0.0942,0.7961,0.1788,0.8444,0.8283,0.8611,0.3239,0.3895,0.1498
0.7101,0.404,0.2826,0.6823,0.3347,0.986,0.6294,0.8809,0.1892,0.1919,0.9926,0.0887,0.3709,0.6593,0.9653,0.9061,0.6422,0.0942,0.4287,0.1996,0.4793,0.9985,0.8566,0.3239,0.499,0.5125
0.4856,0.4078,0.487,0.5449,0.5106,0.9009,0.6294,0.8849,0.2211,0.3623,0.5916,0.0036,0.4376,0.1247,0.6508,0.6425,0.5998,0.0942,0.9098,0.1788,0.4747,0.7243,0.7884,0.5112,0.7485,0.0361
0.8745,0.1569,0.3674,0.7501,0.4985,0.3524,0.7135,0.9367,0.4223,0.3472,0.7172,0.2365,0.5736,0.6633,0.6508,0.5325,0.8235,0.0942,0.6828,0.0468,0.592,0.835,0.6345,0.5584,0.696,0.4666
0.7101,0.3821,0.0256,0.4781,0.6368,0.3815,0.6874,0.9746,0.1692,0.0296,0.452,0.0559,0.2649,0.0425,0.8758,0.8822,0.6053,0.1626,0.9345,0.5538,0.6375,0.9267,0.7642,0.0408,0.5223,0.4361
0.3294,0.2582,0.0723,0.5449,0.3347,0.7764,0.9938,0.6546,0.4615,0.0654,0.6771,0.1256,0.5634,0.3837,0.6662,0.8822,0.3447,0.1264,0.5513,0.2175,0.517,0.7012,0.9247,0.3239,0.3118,0.5369
0.8154,0.0251,0.4928,0.7569,0.7318,0.5597,0.6874,0.5573,0.5818,0.0455,0.3074,0.0559,0.1432,0.2177,0.4287,0.8822,0.5748,0.1264,0.6537,0.1056,0.5245,0.4313,0.7642,0.6718,0.2782,0.519
0.5143,0.1298,0.2015,0.6121,0.3347,0.146,0.8304,0.5388,0.2016,0.0436,0.2684,0.0559,0.0351,0.0127,0.6427,0.8822,0.5689,0.4642,0.6537,0.2175,0.6161,0.5464,0.7385,0.63,0.2069,0.3007
0.9343,0.0609,0.365,0.3445,0.3347,0.1705,0.6874,0.7904,0.1954,0.3452,0.3783,0.0598,0.4803,0.0425,0.3429,0.8818,0.9243,0.0039,0.2687,0.2175,0.8849,0.5464,0.8105,0.602,0.6098,0.4539
