Ah,SOC,V,A,Wh,time
0.000156,100.00%,3.373003,56.01624,0.000525,0
0.155577,99.95%,3.351078,56.0072,0.522711,10
0.311153,99.89%,3.338813,56.00819,1.043052,20
0.46673,99.84%,3.329879,56.00672,1.561764,30
0.622306,99.78%,3.323082,56.00679,2.079261,40
0.777883,99.73%,3.317803,56.00749,2.595825,50
0.93346,99.67%,3.313596,56.00825,3.111658,60
1.089038,99.62%,3.310183,56.00742,3.626903,70
1.244615,99.56%,3.307403,56.00854,4.141671,80
1.400192,99.51%,3.305129,56.00882,4.656045,90
1.55577,99.45%,3.303277,56.00719,5.170099,100
1.711348,99.40%,3.301762,56.00737,5.683891,110
1.866925,99.34%,3.300519,56.008,6.197468,120
2.022503,99.29%,3.299555,56.0062,6.710876,130
2.178081,99.23%,3.298798,56.00859,7.224153,140
2.333658,99.18%,3.298214,56.00836,7.737327,150
2.489237,99.12%,3.297794,56.00707,8.250424,160
2.644815,99.07%,3.297481,56.00842,8.763463,170
2.800394,99.01%,3.297264,56.00858,9.276463,180
2.955973,98.96%,3.297109,56.0093,9.789435,190
3.111552,98.90%,3.297016,56.01,10.30239,200
3.267132,98.85%,3.296931,56.00854,10.81533,210
3.422711,98.79%,3.296929,56.0086,11.32826,220
3.57829,98.74%,3.296899,56.00877,11.84119,230
3.733869,98.68%,3.296914,56.0092,12.35412,240
3.889448,98.63%,3.296933,56.00771,12.86705,250
4.045026,98.57%,3.296952,56.0083,13.37999,260
4.200606,98.52%,3.296984,56.00789,13.89293,270
4.356185,98.46%,3.297005,56.00808,14.40587,280
4.511765,98.41%,3.297033,56.00756,14.91882,290
4.667346,98.35%,3.297039,56.00861,15.43178,300
4.822926,98.30%,3.297101,56.00994,15.94474,310
4.978506,98.24%,3.297124,56.00935,16.4577,320
5.134086,98.19%,3.29719,56.00806,16.97067,330
5.289666,98.13%,3.297207,56.00994,17.48365,340
5.445246,98.08%,3.29723,56.00859,17.99663,350
5.600826,98.02%,3.297289,56.00948,18.50962,360
5.756406,97.97%,3.2973,56.00988,19.02261,370
5.911987,97.91%,3.297351,56.01052,19.53561,380
6.067567,97.86%,3.297376,56.00948,20.04862,390
6.223147,97.80%,3.297404,56.00913,20.56163,400
6.378728,97.75%,3.297436,56.00877,21.07464,410
6.534308,97.69%,3.297449,56.00836,21.58766,420
6.689889,97.64%,3.297491,56.00719,22.10068,430
6.845469,97.58%,3.297525,56.00913,22.61371,440
7.001049,97.53%,3.297546,56.00784,23.12674,450
7.156628,97.47%,3.297557,56.00865,23.63977,460
7.312208,97.42%,3.297578,56.00913,24.15281,470
7.467788,97.36%,3.297601,56.00903,24.66585,480
7.623368,97.31%,3.297633,56.00879,25.17889,490
7.778948,97.25%,3.297635,56.00837,25.69194,500
7.934528,97.20%,3.297676,56.00854,26.20499,510
8.090109,97.14%,3.297669,56.00825,26.71804,520
8.245688,97.09%,3.297718,56.00808,27.2311,530
8.401269,97.03%,3.297724,56.00876,27.74416,540
8.556849,96.98%,3.297731,56.00847,28.25722,550
8.71243,96.92%,3.297756,56.00942,28.77029,560
8.868011,96.87%,3.297763,56.00843,29.28336,570
9.023593,96.81%,3.297775,56.00714,29.79643,580
9.179173,96.76%,3.297799,56.00919,30.3095,590
9.334755,96.70%,3.297809,56.00824,30.82257,600
9.490336,96.65%,3.297803,56.01019,31.33565,610
9.645918,96.59%,3.297822,56.00837,31.84873,620
9.801499,96.54%,3.297841,56.01043,32.36181,630
9.957082,96.48%,3.297841,56.01006,32.8749,640
10.11266,96.43%,3.297843,56.00907,33.38798,650
10.26824,96.37%,3.297845,56.00866,33.90107,660
10.42383,96.32%,3.297845,56.00936,34.41415,670
10.57941,96.26%,3.297877,56.00878,34.92724,680
10.73499,96.21%,3.297868,56.00965,35.44033,690
10.89057,96.15%,3.297898,56.00897,35.95342,700
11.04615,96.10%,3.297907,56.01012,36.46651,710
11.20173,96.04%,3.297896,56.00983,36.9796,720
11.35732,95.99%,3.297909,56.00831,37.49269,730
11.5129,95.93%,3.297896,56.01012,38.00578,740
11.66848,95.88%,3.297911,56.01017,38.51888,750
11.82406,95.82%,3.297907,56.00989,39.03197,760
11.97964,95.77%,3.297915,56.00919,39.54507,770
12.13522,95.71%,3.29792,56.00913,40.05816,780
12.2908,95.66%,3.297913,56.00954,40.57125,790
12.44639,95.60%,3.297905,56.00913,41.08435,800
12.60197,95.55%,3.297928,56.01076,41.59744,810
