Ah,SOC,V,A,Wh,time
0.000778,100.00%,3.311722,280.1559,0.002575,0
0.778109,99.72%,3.246109,280.1292,2.541848,10
1.556222,99.44%,3.22967,280.1235,5.060297,20
2.334338,99.16%,3.223407,280.1149,7.570512,30
3.112458,98.88%,3.220923,280.1339,10.0776,40
3.890579,98.60%,3.219805,280.1268,12.58338,50
4.668701,98.32%,3.219181,280.1332,15.08851,60
5.446827,98.04%,3.218835,280.1173,17.59329,70
6.224956,97.76%,3.218621,280.1261,20.09787,80
7.003086,97.48%,3.218511,280.121,22.60233,90
7.781216,97.21%,3.218415,280.1235,25.1067,100
8.559347,96.93%,3.218351,280.1219,27.61103,110
9.337477,96.65%,3.218324,280.1165,30.11531,120
10.11561,96.37%,3.218311,280.1304,32.61958,130
10.89374,96.09%,3.218256,280.1369,35.12383,140
11.67187,95.81%,3.218214,280.1348,37.62806,150
12.45001,95.53%,3.218209,280.1358,40.13227,160
13.22814,95.25%,3.218173,280.1286,42.63644,170
14.00627,94.97%,3.218129,280.1217,45.1406,180
14.7844,94.69%,3.218092,280.1282,47.64472,190
15.56254,94.41%,3.218029,280.1147,50.1488,200
16.34067,94.13%,3.217974,280.1279,52.65284,210
17.1188,93.85%,3.217918,280.1188,55.15684,220
17.89694,93.57%,3.217865,280.1273,57.66079,230
18.67507,93.29%,3.2178,280.1158,60.16468,240
19.4532,93.01%,3.21773,280.1233,62.66853,250
20.23133,92.73%,3.217634,280.13,65.17233,260
21.00947,92.45%,3.217556,280.1376,67.67605,270
21.78761,92.17%,3.21746,280.1259,70.17971,280
22.56574,91.89%,3.217392,280.1306,72.6833,290
23.34388,91.62%,3.21728,280.1324,75.18683,300
24.12202,91.34%,3.217182,280.1408,77.69028,310
24.90015,91.06%,3.217079,280.1247,80.19364,320
25.67829,90.78%,3.216958,280.1461,82.69691,330
26.45643,90.50%,3.216866,280.1341,85.20011,340
27.23456,90.22%,3.216735,280.1342,87.70321,350
28.0127,89.94%,3.216624,280.1271,90.20621,360
28.79083,89.66%,3.216497,280.1238,92.70914,370
29.56897,89.38%,3.216368,280.1308,95.21195,380
30.34711,89.10%,3.216211,280.1242,97.71467,390
31.12524,88.82%,3.216099,280.1307,100.2173,400
31.90337,88.54%,3.215952,280.126,102.7198,410
32.68151,88.26%,3.215823,280.1328,105.2222,420
33.45965,87.98%,3.215657,280.1211,107.7244,430
34.23778,87.70%,3.215513,280.138,110.2266,440
35.01592,87.42%,3.215352,280.1313,112.7287,450
35.79405,87.14%,3.215205,280.1323,115.2306,460
36.57219,86.86%,3.21504,280.1294,117.7324,470
37.35033,86.58%,3.214891,280.1275,120.2341,480
38.12846,86.30%,3.214713,280.1317,122.7356,490
38.90659,86.03%,3.214552,280.1242,125.237,500
39.68473,85.75%,3.21438,280.145,127.7383,510
40.46286,85.47%,3.214236,280.1225,130.2395,520
41.24099,85.19%,3.214019,280.1334,132.7405,530
42.01913,84.91%,3.213862,280.1286,135.2414,540
42.79726,84.63%,3.213682,280.1277,137.7421,550
43.5754,84.35%,3.213508,280.1259,140.2428,560
44.35354,84.07%,3.213317,280.1282,142.7432,570
45.13167,83.79%,3.213137,280.1284,145.2436,580
45.90981,83.51%,3.212952,280.1286,147.7437,590
46.68794,83.23%,3.212734,280.1268,150.2438,600
47.46608,82.95%,3.212568,280.1215,152.7437,610
48.24421,82.67%,3.212356,280.1242,155.2434,620
49.02234,82.39%,3.212151,280.1321,157.7429,630
49.80048,82.11%,3.211938,280.1237,160.2423,640
50.57861,81.83%,3.211768,280.1281,162.7416,650
51.35674,81.55%,3.211514,280.1276,165.2407,660
52.13488,81.27%,3.21135,280.123,167.7396,670
52.91301,80.99%,3.211141,280.1302,170.2384,680
53.69115,80.72%,3.210911,280.1317,172.737,690
54.46928,80.44%,3.210695,280.1323,175.2354,700
55.24742,80.16%,3.210479,280.1245,177.7337,710
56.02555,79.88%,3.210275,280.1287,180.2318,720
56.80369,79.60%,3.210035,280.1302,182.7297,730
57.58182,79.32%,3.209823,280.1233,185.2275,740
58.35995,79.04%,3.209602,280.1228,187.7251,750
59.13809,78.76%,3.209348,280.1377,190.2225,760
59.91623,78.48%,3.209136,280.1205,192.7197,770
60.69436,78.20%,3.208905,280.1277,195.2168,780
61.47249,77.92%,3.208688,280.1256,197.7136,790
62.25063,77.64%,3.208451,280.1355,200.2103,800
63.02876,77.36%,3.208221,280.1306,202.7068,810
63.80689,77.08%,3.207988,280.1319,205.2032,820
64.58502,76.80%,3.207755,280.1263,207.6993,830
65.36315,76.52%,3.207489,280.1282,210.1953,840
66.14129,76.24%,3.207256,280.1316,212.6911,850
66.91943,75.96%,3.207031,280.1252,215.1866,860
67.69756,75.68%,3.206783,280.1286,217.6821,870
68.47569,75.40%,3.206571,280.1277,220.1773,880
