Ah,SOC,V,A,Wh,time
0.000257,100.00%,3.328943,92.47323,0.000854,0
0.256768,99.91%,3.308121,92.43625,0.851395,10
0.513536,99.82%,3.298708,92.4388,1.699508,20
0.770303,99.73%,3.292533,92.43554,2.545666,30
1.027071,99.64%,3.288349,92.4346,3.390512,40
1.283838,99.54%,3.285487,92.43201,4.234462,50
1.540607,99.45%,3.283618,92.43377,5.077813,60
1.797376,99.36%,3.282428,92.43681,5.92078,70
2.054145,99.27%,3.281739,92.43411,6.763509,80
2.310914,99.18%,3.281348,92.43649,7.606101,90
2.567683,99.09%,3.281164,92.43742,8.448622,100
2.82445,99.00%,3.281094,92.43937,9.291108,110
3.081217,98.91%,3.281121,92.43776,10.13358,120
3.337984,98.81%,3.281142,92.43679,10.97607,130
3.594752,98.72%,3.281249,92.43844,11.81858,140
3.851519,98.63%,3.281321,92.43694,12.66111,150
4.108286,98.54%,3.28141,92.43831,13.50366,160
4.365056,98.45%,3.281518,92.43539,14.34623,170
4.621825,98.36%,3.281605,92.43775,15.18884,180
4.878596,98.27%,3.281688,92.43542,16.03147,190
5.135366,98.18%,3.281777,92.44123,16.87412,200
5.392137,98.08%,3.281855,92.43867,17.71679,210
5.648907,97.99%,3.281921,92.43329,18.55949,220
5.905678,97.90%,3.282019,92.43692,19.4022,230
6.162449,97.81%,3.282082,92.43832,20.24494,240
6.419221,97.72%,3.282144,92.43892,21.08769,250
6.675993,97.63%,3.282214,92.43422,21.93046,260
6.932765,97.54%,3.282282,92.43634,22.77325,270
7.189538,97.45%,3.282333,92.4397,23.61606,280
7.446312,97.35%,3.282373,92.43903,24.45888,290
7.703085,97.26%,3.28242,92.43912,25.30171,300
7.959858,97.17%,3.282483,92.43864,26.14455,310
8.216631,97.08%,3.28249,92.43856,26.98741,320
8.473404,96.99%,3.282543,92.44138,27.83027,330
8.730178,96.90%,3.282557,92.43938,28.67315,340
8.986951,96.81%,3.282636,92.43739,29.51603,350
9.243724,96.72%,3.282647,92.43983,30.35893,360
9.500497,96.63%,3.282687,92.43949,31.20183,370
9.757269,96.53%,3.282736,92.43749,32.04474,380
10.01404,96.44%,3.282751,92.43658,32.88765,390
10.27081,96.35%,3.282776,92.43913,33.73057,400
10.52758,96.26%,3.282795,92.43671,34.5735,410
10.78436,96.17%,3.282838,92.43623,35.41644,420
11.04113,96.08%,3.28284,92.4395,36.25938,430
11.2979,95.99%,3.282857,92.44182,37.10232,440
11.55467,95.90%,3.282889,92.43587,37.94527,450
