Ah,SOC,V,A,Wh,time
0.000156,100.00%,3.36032,56.02784,0.000523,0
0.155581,99.95%,3.341365,56.00983,0.521032,10
0.311161,99.89%,3.331057,56.00801,1.04003,20
0.466741,99.84%,3.323706,56.00882,1.557673,30
0.622321,99.78%,3.318192,56.0094,2.074326,40
0.777902,99.73%,3.313921,56.00941,2.590224,50
0.933483,99.67%,3.310527,56.00965,3.105534,60
1.089065,99.62%,3.307788,56.00959,3.62037,70
1.244646,99.56%,3.305593,56.00532,4.134825,80
1.400229,99.51%,3.303823,56.01016,4.648974,90
1.555811,99.45%,3.302389,56.01059,5.162875,100
1.711393,99.40%,3.301229,56.01024,5.676575,110
1.866976,99.34%,3.300329,56.00939,6.190117,120
2.022559,99.29%,3.299663,56.01094,6.703538,130
2.178142,99.23%,3.299122,56.0108,7.216864,140
2.333725,99.18%,3.298736,56.01076,7.730119,150
2.489308,99.12%,3.298439,56.01146,8.243321,160
2.644891,99.07%,3.298227,56.00942,8.756484,170
2.800473,99.01%,3.298087,56.00963,9.269619,180
2.956056,98.96%,3.297961,56.00962,9.782735,190
3.111639,98.90%,3.297924,56.00796,10.29584,200
3.267221,98.85%,3.297877,56.01077,10.80893,210
3.422803,98.79%,3.297856,56.00906,11.32202,220
3.578386,98.74%,3.297856,56.00889,11.83511,230
3.733968,98.68%,3.297862,56.00883,12.3482,240
3.889551,98.63%,3.297879,56.01046,12.86129,250
4.045135,98.57%,3.297877,56.00917,13.37438,260
4.200717,98.52%,3.29793,56.00766,13.88748,270
4.3563,98.46%,3.297943,56.01012,14.40058,280
4.511883,98.41%,3.297974,56.01214,14.91369,290
4.667466,98.35%,3.29801,56.00848,15.4268,300
4.823049,98.30%,3.298051,56.00789,15.93991,310
4.978631,98.24%,3.298049,56.01128,16.45303,320
5.134214,98.19%,3.298102,56.01092,16.96616,330
5.289797,98.13%,3.298123,56.01011,17.47929,340
5.445379,98.08%,3.298167,56.01015,17.99242,350
5.600962,98.02%,3.298176,56.01065,18.50556,360
5.756546,97.97%,3.29821,56.00924,19.0187,370
5.912129,97.91%,3.298242,56.00888,19.53185,380
6.067712,97.86%,3.298271,56.00911,20.045,390
6.223296,97.80%,3.298299,56.0086,20.55816,400
6.378879,97.75%,3.298309,56.01018,21.07132,410
6.534461,97.69%,3.298365,56.01079,21.58449,420
6.690044,97.64%,3.298384,56.00935,22.09765,430
6.845626,97.58%,3.29839,56.00975,22.61083,440
7.00121,97.53%,3.298416,56.00934,23.124,450
7.156793,97.47%,3.298445,56.00888,23.63719,460
7.312376,97.42%,3.298466,56.01064,24.15037,470
7.467959,97.36%,3.298471,56.009,24.66356,480
7.623543,97.31%,3.298503,56.01022,25.17675,490
7.779125,97.26%,3.298509,56.0108,25.68994,500
7.934708,97.20%,3.29853,56.01086,26.20313,510
8.090291,97.15%,3.298547,56.0096,26.71633,520
8.245873,97.09%,3.298566,56.01244,27.22953,530
8.401457,97.04%,3.298581,56.01041,27.74273,540
8.55704,96.98%,3.298602,56.01075,28.25594,550
8.712623,96.93%,3.298609,56.01047,28.76914,560
8.868206,96.87%,3.298613,56.01088,29.28235,570
9.023787,96.82%,3.298632,56.00899,29.79556,580
9.179371,96.76%,3.29864,56.00855,30.30877,590
9.334953,96.71%,3.298685,56.01091,30.82198,600
9.490536,96.65%,3.298632,56.00977,31.3352,610
9.646118,96.60%,3.298664,56.00928,31.84841,620
9.801702,96.54%,3.298679,56.01104,32.36163,630
9.957284,96.49%,3.298708,56.00865,32.87485,640
10.11287,96.43%,3.298698,56.00994,33.38807,650
10.26845,96.38%,3.29871,56.00922,33.90129,660
10.42403,96.32%,3.298717,56.00991,34.41452,670
10.57962,96.27%,3.298723,56.01115,34.92774,680
10.7352,96.21%,3.298704,56.01103,35.44096,690
10.89078,96.16%,3.298717,56.01004,35.95419,700
11.04637,96.10%,3.298732,56.00941,36.46741,710
11.20195,96.05%,3.298744,56.00935,36.98064,720
11.35753,95.99%,3.29873,56.00952,37.49387,730
11.51311,95.94%,3.298747,56.00893,38.0071,740
11.6687,95.88%,3.298757,56.00999,38.52032,750
11.82428,95.83%,3.298749,56.0105,39.03355,760
11.97986,95.77%,3.298747,56.01085,39.54678,770
12.13545,95.72%,3.298762,56.00976,40.06002,780
12.29103,95.66%,3.298742,56.01021,40.57325,790
12.44661,95.61%,3.298753,56.01004,41.08648,800
12.6022,95.55%,3.298759,56.01155,41.59971,810
12.75778,95.50%,3.298768,56.00975,42.11295,820
12.91336,95.44%,3.298768,56.01035,42.62618,830
13.06895,95.39%,3.298751,56.00993,43.13941,840
13.22453,95.33%,3.298766,56.0104,43.65264,850
13.38011,95.28%,3.298747,56.00824,44.16587,860
13.5357,95.22%,3.298749,56.01028,44.6791,870
13.69128,95.17%,3.298764,56.00678,45.19232,880
13.84686,95.11%,3.298751,56.00969,45.70555,890
14.00244,95.06%,3.298749,56.00945,46.21878,900
14.15803,95.00%,3.298747,56.00999,46.732,910
14.31361,94.95%,3.298734,56.01215,47.24523,920
14.46919,94.89%,3.298742,56.00977,47.75845,930
