Ah,SOC,V,A,Wh,time
0.000257,100.00%,3.337831,92.4453,0.000857,0
0.256727,99.91%,3.313496,92.42104,0.853,10
0.513455,99.82%,3.30215,92.42198,1.702101,20
0.770185,99.73%,3.294659,92.42361,2.548838,30
1.026913,99.64%,3.289444,92.4233,3.393967,40
1.283641,99.54%,3.285807,92.42065,4.237967,50
1.540371,99.45%,3.283285,92.42351,5.081187,60
1.797102,99.36%,3.281624,92.42327,5.923879,70
2.053835,99.27%,3.280573,92.42574,6.766234,80
2.310568,99.18%,3.280032,92.42443,7.60839,90
2.567301,99.09%,3.279706,92.42595,8.450438,100
2.824034,99.00%,3.279599,92.42504,9.292437,110
3.080769,98.91%,3.279593,92.42561,10.13442,120
3.337503,98.81%,3.279612,92.42493,10.97641,130
3.594239,98.72%,3.279665,92.42794,11.81841,140
3.850976,98.63%,3.279776,92.42397,12.66044,150
4.107713,98.54%,3.27988,92.42384,13.50249,160
4.364449,98.45%,3.280009,92.42303,14.34457,170
4.621184,98.36%,3.280066,92.42502,15.18667,180
4.877919,98.27%,3.280168,92.42259,16.02879,190
5.134654,98.18%,3.280274,92.42608,16.87094,200
5.391389,98.08%,3.280321,92.42446,17.71311,210
5.648126,97.99%,3.280429,92.42327,18.5553,220
5.904863,97.90%,3.280495,92.42809,19.39752,230
6.161599,97.81%,3.280582,92.4249,20.23976,240
6.418336,97.72%,3.280643,92.42786,21.08201,250
6.675072,97.63%,3.280703,92.42305,21.92428,260
6.931809,97.54%,3.280792,92.42796,22.76657,270
7.188546,97.45%,3.280837,92.42373,23.60887,280
7.445282,97.35%,3.280921,92.4242,24.45119,290
7.702018,97.26%,3.280964,92.42574,25.29353,300
7.958755,97.17%,3.281002,92.42407,26.13587,310
8.215491,97.08%,3.281023,92.42438,26.97823,320
8.472228,96.99%,3.281065,92.42548,27.82059,330
8.728966,96.90%,3.281091,92.42805,28.66297,340
8.985703,96.81%,3.28115,92.42407,29.50536,350
9.242441,96.72%,3.281163,92.42512,30.34775,360
9.49918,96.62%,3.281193,92.42527,31.19016,370
9.755919,96.53%,3.281225,92.42842,32.03257,380
10.01266,96.44%,3.281242,92.42525,32.87499,390
10.26939,96.35%,3.281297,92.4257,33.71741,400
10.52613,96.26%,3.281322,92.42371,34.55984,410
10.78287,96.17%,3.281333,92.42526,35.40228,420
11.0396,96.08%,3.281363,92.42245,36.24472,430
11.29634,95.99%,3.281371,92.42762,37.08717,440
11.55308,95.89%,3.281382,92.42435,37.92962,450
11.80981,95.80%,3.281399,92.42282,38.77207,460
12.06655,95.71%,3.281411,92.42783,39.61453,470
12.32329,95.62%,3.281413,92.42516,40.457,480
12.58003,95.53%,3.281428,92.42337,41.29948,490
12.83677,95.44%,3.281471,92.42347,42.14195,500
13.09351,95.35%,3.281445,92.42645,42.98443,510
13.35025,95.26%,3.281458,92.42551,43.8269,520
13.60699,95.16%,3.281443,92.42294,44.66938,530
13.86373,95.07%,3.281471,92.42446,45.51186,540
14.12047,94.98%,3.281445,92.42632,46.35435,550
14.37721,94.89%,3.281471,92.42783,47.19683,560
14.63395,94.80%,3.281471,92.42786,48.03932,570
14.89069,94.71%,3.281475,92.42584,48.88181,580
15.14743,94.62%,3.281479,92.42635,49.7243,590
15.40417,94.53%,3.281498,92.4227,50.56678,600
15.66091,94.43%,3.281494,92.42187,51.40927,610
15.91765,94.34%,3.281492,92.42529,52.25176,620
16.17439,94.25%,3.2815,92.42843,53.09425,630
16.43113,94.16%,3.281492,92.42678,53.93673,640
16.68787,94.07%,3.281477,92.42798,54.77922,650
16.94461,93.98%,3.28146,92.42599,55.6217,660
17.20135,93.89%,3.281473,92.42447,56.46419,670
17.45809,93.80%,3.281439,92.42915,57.30668,680
17.71483,93.70%,3.281437,92.42329,58.14916,690
17.97157,93.61%,3.281437,92.43126,58.99163,700
18.22831,93.52%,3.281424,92.42738,59.8341,710
18.48505,93.43%,3.281428,92.42447,60.67657,720
18.74179,93.34%,3.28146,92.42316,61.51905,730
