Ah,SOC,V,A,Wh,time
0.000078,100.00%,3.347646,-28.01792,-0.00026,0
0.077799,99.97%,3.339786,-28.00797,-0.260077,10
0.155598,99.95%,3.335053,-28.00803,-0.519717,20
0.233397,99.92%,3.331345,-28.00974,-0.779032,30
0.311197,99.89%,3.328233,-28.00641,-1.038085,40
0.388996,99.86%,3.325617,-28.00722,-1.296914,50
0.466795,99.84%,3.323391,-28.00751,-1.555554,60
0.544593,99.81%,3.321421,-28.00792,-1.814031,70
0.622392,99.78%,3.319717,-28.00745,-2.072364,80
0.700191,99.75%,3.318207,-28.00765,-2.330573,90
0.77799,99.73%,3.316832,-28.00716,-2.588674,100
0.85579,99.70%,3.315623,-28.00793,-2.846676,110
0.933591,99.67%,3.314553,-28.00721,-3.10459,120
1.01139,99.64%,3.313605,-28.00856,-3.362424,130
1.08919,99.62%,3.312757,-28.00797,-3.620189,140
1.16699,99.59%,3.311993,-28.00734,-3.877891,150
1.24479,99.56%,3.311344,-28.00829,-4.135539,160
1.32259,99.53%,3.310722,-28.00717,-4.393137,170
1.400391,99.51%,3.310196,-28.00693,-4.650693,180
1.478192,99.48%,3.309721,-28.00733,-4.908211,190
1.555993,99.45%,3.309314,-28.00747,-5.165695,200
1.633794,99.42%,3.308959,-28.00893,-5.423148,210
1.711594,99.40%,3.30865,-28.00839,-5.680573,220
1.789394,99.37%,3.308367,-28.00804,-5.937976,230
1.867194,99.34%,3.308147,-28.00868,-6.195358,240
1.944995,99.31%,3.307943,-28.00786,-6.452725,250
2.022795,99.29%,3.307748,-28.00809,-6.710077,260
2.100596,99.26%,3.307625,-28.00844,-6.967419,270
2.178396,99.23%,3.30751,-28.00792,-7.224747,280
2.256196,99.20%,3.307404,-28.00768,-7.482067,290
2.333997,99.18%,3.307336,-28.00739,-7.73938,300
2.411797,99.15%,3.307239,-28.00763,-7.996687,310
2.489597,99.12%,3.30719,-28.00734,-8.253988,320
2.567397,99.09%,3.30715,-28.00787,-8.511286,330
2.645197,99.07%,3.307101,-28.00816,-8.768581,340
2.722997,99.04%,3.307086,-28.00833,-9.025875,350
2.800797,99.01%,3.307069,-28.00811,-9.283166,360
2.878597,98.98%,3.307069,-28.00793,-9.540457,370
2.956398,98.96%,3.307082,-28.00751,-9.797749,380
3.034198,98.93%,3.307063,-28.00791,-10.05504,390
3.111999,98.90%,3.307069,-28.00715,-10.31233,400
3.189799,98.87%,3.307088,-28.00706,-10.56962,410
3.267599,98.85%,3.307076,-28.00822,-10.82691,420
3.345399,98.82%,3.307086,-28.00826,-11.0842,430
3.423199,98.79%,3.307105,-28.00968,-11.3415,440
3.500999,98.76%,3.307141,-28.00797,-11.59879,450
3.578799,98.74%,3.307169,-28.00815,-11.85609,460
3.6566,98.71%,3.307186,-28.00695,-12.11339,470
3.7344,98.68%,3.307199,-28.00973,-12.37069,480
3.812199,98.65%,3.307233,-28.00844,-12.62799,490
3.889999,98.63%,3.307262,-28.00717,-12.88529,500
3.967798,98.60%,3.307279,-28.00676,-13.1426,510
4.045598,98.57%,3.307319,-28.00658,-13.3999,520
4.123397,98.54%,3.307341,-28.00734,-13.65721,530
4.201197,98.52%,3.307374,-28.00863,-13.91452,540
4.278997,98.49%,3.307404,-28.00932,-14.17184,550
4.356797,98.46%,3.307421,-28.00657,-14.42916,560
4.434597,98.43%,3.307466,-28.00834,-14.68647,570
4.512397,98.41%,3.307491,-28.0095,-14.9438,580
4.590198,98.38%,3.30754,-28.00729,-15.20112,590
4.667999,98.35%,3.307527,-28.00729,-15.45845,600
4.7458,98.32%,3.307565,-28.00903,-15.71578,610
