Test_Time(s),Voltage(V)
280.6924,4.473331
281.6924,4.474766
282.6926,4.475956
283.693,4.47681
284.6928,4.477634
285.6923,4.478611
286.693,4.480106
287.6923,4.481972
288.6924,4.48243
289.6928,4.484749
290.6925,4.486153
291.6924,4.486977
292.6929,4.490059
293.6923,4.490028
294.6923,4.492012
295.6929,4.492653
296.6927,4.493263
297.693,4.494762
298.6927,4.495983
299.6926,4.496593
300.6926,4.498821
301.6928,4.498974
302.6925,4.500256
303.693,4.500164
304.6929,4.502483
305.6929,4.503094
306.693,4.503185
307.6925,4.504406
308.6931,4.504803
309.6924,4.505138
310.6927,4.506882
311.6927,4.508652
312.6926,4.508499
313.6928,4.510025
314.6926,4.510727
315.6927,4.512619
316.6924,4.512894
317.6925,4.512466
318.6925,4.513962
319.6929,4.516281
320.6928,4.515976
321.6924,4.517414
322.6928,4.517902
323.6923,4.518696
324.6926,4.520741
325.6925,4.521137
326.6925,4.521809
327.6929,4.524097
328.6927,4.524891
329.6926,4.527363
330.6923,4.528584
331.693,4.528034
332.6924,4.531944
333.6928,4.532951
334.693,4.533531
335.6926,4.535149
336.693,4.536552
337.6925,4.538445
338.6923,4.538567
339.6926,4.54055
340.6928,4.541344
341.6928,4.543301
342.6924,4.543606
343.6923,4.543026
344.6929,4.545925
345.6924,4.545895
346.6925,4.545467
347.6923,4.547298
348.6924,4.547909
349.6925,4.548519
350.693,4.550411
351.6924,4.55151
352.693,4.552181
353.6928,4.553188
354.6924,4.553894
355.693,4.555176
356.6925,4.555786
357.6924,4.556824
358.6926,4.557648
359.6923,4.558167
360.6923,4.558228
361.6925,4.560699
362.6929,4.561859
363.6926,4.562836
364.693,4.564453
365.6926,4.564453
366.6925,4.566715
367.6929,4.567661
368.6925,4.567814
369.6924,4.56937
370.6924,4.569401
371.6923,4.571445
372.693,4.573307
373.6931,4.573093
374.6926,4.574253
375.693,4.576481
376.6925,4.577614
377.6927,4.57914
378.6929,4.581093
379.6925,4.581184
380.6923,4.582314
381.6925,4.58271
382.6927,4.585243
383.6927,4.584846
384.693,4.587135
385.6928,4.58802
386.6925,4.589611
387.6926,4.591991
388.6925,4.592113
389.6926,4.593609
390.6927,4.595501
391.6929,4.597118
392.6929,4.597332
393.6928,4.599194
394.6927,4.600842
395.6929,4.600536
396.6929,4.600994
397.6928,4.601395
398.693,4.602737
399.693,4.603195
400.6925,4.605148
401.6923,4.604752
402.6927,4.606613
403.6925,4.608078
404.693,4.609085
405.6926,4.608597
406.6929,4.611404
407.693,4.61171
408.6926,4.613514
409.6928,4.613605
410.6925,4.616718
411.693,4.616993
412.6924,4.617664
413.6929,4.617298
414.6929,4.620441
415.6926,4.621418
416.6926,4.623127
417.6924,4.624653
418.6926,4.62447
419.6929,4.626091
420.6931,4.627098
421.6928,4.627983
422.6925,4.630241
423.6924,4.629723
424.6929,4.632378
425.6923,4.631981
426.6923,4.633659
427.6925,4.634514
428.6928,4.637047
429.6929,4.636803
430.6924,4.638485
431.6923,4.638882
432.6926,4.640865
433.6929,4.642086
434.6925,4.641964
435.6925,4.642635
436.6927,4.643917
437.6927,4.645351
438.6924,4.645535
439.6925,4.646542
440.6924,4.648403
441.6924,4.649353
442.6927,4.650085
443.6928,4.650635
444.693,4.653015
445.6924,4.653503
446.6929,4.653442
447.6927,4.655365
448.6923,4.656311
449.6926,4.657196
450.6924,4.656647
451.693,4.658722
452.6928,4.6604
453.6929,4.661289
454.6928,4.662052
455.6924,4.662235
456.6929,4.663944
457.6925,4.665501
458.6925,4.665226
459.6927,4.66663
460.693,4.666874
461.6924,4.668308
462.6923,4.668369
463.6925,4.669987
464.6925,4.670139
465.6929,4.672581
466.6926,4.671909
467.6928,4.673866
468.6928,4.674019
469.6926,4.675484
470.6926,4.675819
471.6924,4.676033
472.693,4.676582
473.6926,4.67762
474.6923,4.678413
475.6929,4.67939
476.6925,4.680092
477.6924,4.682076
478.6925,4.681221
479.6928,4.682655
480.6926,4.683937
481.6926,4.684242
482.6924,4.685131
483.6928,4.686565
484.6929,4.686352
485.6926,4.687878
486.6923,4.689098
487.693,4.689251
488.6928,4.688457
489.6927,4.691174
490.6929,4.690716
491.6923,4.691326
492.6924,4.691021
493.6928,4.692333
494.6925,4.692181
495.6927,4.692547
496.6923,4.692883
497.6929,4.692638
498.6924,4.692974
499.6928,4.693218
500.6931,4.694225
501.693,4.69508
502.693,4.695904
503.6924,4.695934
504.6926,4.697098
505.6923,4.696758
506.6925,4.697189
507.693,4.698502
508.6924,4.699692
509.6926,4.701248
510.6927,4.701065
511.693,4.702255
512.6928,4.702133
513.6924,4.703262
514.6927,4.704422
515.6929,4.704758
516.6926,4.705338
517.6931,4.706589
518.6925,4.707443
519.693,4.707169
520.6926,4.708847
521.6931,4.708847
522.6925,4.708817
523.6925,4.708725
524.6928,4.710407
525.6928,4.710926
526.6927,4.710194
527.6924,4.711201
528.6926,4.711842
529.6928,4.711658
530.6925,4.710499
531.6929,4.711872
532.6926,4.711292
533.6929,4.711506
534.6923,4.713215
535.6923,4.712299
536.6923,4.713245
537.6929,4.712482
538.693,4.71291
539.6924,4.713215
540.6925,4.714191
541.6926,4.714527
542.693,4.714252
543.6925,4.714832
544.6924,4.714832
545.6923,4.715199
546.6925,4.716145
547.6928,4.71587
548.6925,4.71645
549.693,4.716999
550.6924,4.716969
551.6923,4.717915
552.6926,4.717487
553.6925,4.718494
554.6929,4.718281
555.693,4.719532
556.693,4.720631
557.6929,4.720356
558.6923,4.720417
559.6927,4.721092
560.6923,4.722069
561.6924,4.722679
562.6925,4.723717
563.6926,4.723869
564.6924,4.72393
565.6928,4.725243
566.6926,4.726921
567.693,4.726524
568.6923,4.726707
569.6926,4.727806
570.6929,4.727257
571.6928,4.728722
572.693,4.728203
573.6927,4.729149
574.6926,4.728508
575.6923,4.728203
576.6925,4.728416
577.6927,4.728233
578.693,4.728325
579.6924,4.727379
580.6923,4.728142
581.6929,4.72921
582.6926,4.728905
583.6928,4.729088
584.6925,4.72982
585.6927,4.72982
586.6926,4.729485
587.6925,4.730125
588.6923,4.730614
589.6928,4.731163
590.6924,4.730339
591.6927,4.731224
592.6926,4.730431
593.6925,4.731529
594.6923,4.731255
595.6924,4.731987
596.6924,4.731651
597.6925,4.732292
598.6925,4.733303
599.6931,4.733517
600.6925,4.734798
601.6929,4.735043
602.693,4.735806
603.6926,4.736599
604.6924,4.736782
605.6927,4.737057
606.6928,4.739285
607.6927,4.738857
608.6929,4.739162
609.6924,4.739101
610.6925,4.74017
611.6925,4.738247
612.6928,4.740047
613.6924,4.738979
614.6928,4.740383
615.6928,4.740078
616.6923,4.739315
617.6925,4.739468
618.6928,4.74017
619.6924,4.740444
620.6924,4.738888
621.6925,4.740322
622.6927,4.740932
623.6928,4.741695
624.6925,4.741207
625.6927,4.741665
626.6924,4.742123
627.6924,4.741879
628.6929,4.742641
629.6924,4.741787
630.6925,4.741879
631.6925,4.742764
632.6926,4.743496
633.6928,4.742977
634.6926,4.743649
635.6929,4.744381
636.6928,4.744167
637.693,4.743313
638.6927,4.744995
639.6926,4.745361
640.6928,4.745239
641.6924,4.745422
642.6926,4.746307
643.6928,4.746826
644.6927,4.746918
645.6924,4.746582
646.6924,4.74707
647.6926,4.747925
648.6923,4.748169
649.6926,4.748291
650.6927,4.749054
651.6926,4.749146
652.6929,4.750305
653.6928,4.750763
654.6925,4.750366
655.6927,4.750366
656.6929,4.750183
657.6927,4.751648
658.6925,4.752319
659.6929,4.752563
660.6924,4.753693
661.6923,4.752258
662.6926,4.753632
663.6924,4.752045
664.6929,4.753723
665.6926,4.755157
666.6924,4.75415
667.6923,4.754486
668.6928,4.754883
669.6929,4.757267
670.6927,4.756561
671.6927,4.758091
672.6925,4.757603
673.693,4.757877
674.6926,4.758213
675.6927,4.757664
676.693,4.759464
677.693,4.76038
678.693,4.759861
679.6924,4.760685
680.6926,4.761143
681.6931,4.760899
682.6927,4.761051
683.6924,4.760593
684.6925,4.760105
685.6927,4.759708
686.6923,4.759464
687.6931,4.759403
688.6924,4.759953
689.6923,4.761021
690.6927,4.761082
691.693,4.761356
692.6925,4.762119
693.6925,4.76273
694.6927,4.763401
695.6926,4.76395
696.6924,4.763828
697.6926,4.764286
698.6929,4.765476
699.6923,4.766972
700.6924,4.767307
701.6927,4.767368
702.6925,4.766758
703.6924,4.76749
704.6924,4.767246
705.6926,4.768467
706.6924,4.768467
707.693,4.768711
708.6923,4.76862
709.6925,4.769661
710.693,4.770271
711.6923,4.769936
712.693,4.771126
713.693,4.772926
714.6928,4.771553
715.6927,4.772133
716.6928,4.773598
717.6926,4.772804
718.6928,4.772774
719.6924,4.773293
720.6926,4.775002
721.6925,4.775124
722.6924,4.775795
723.6923,4.776131
724.6926,4.776558
725.6927,4.777138
726.6929,4.777565
727.6928,4.77726
728.6928,4.778511
729.693,4.778603
730.6926,4.780342
731.6923,4.779762
732.6925,4.782299
733.6926,4.7812
734.693,4.78175
735.6923,4.784008
736.6929,4.783215
737.6924,4.784374
738.6924,4.785015
739.693,4.785351
740.6928,4.787365
741.6929,4.786114
742.6927,4.788158
743.6928,4.788128
744.6924,4.789837
745.6929,4.789593
746.6929,4.790691
747.6924,4.792828
748.6929,4.791576
749.693,4.79237
750.6924,4.793564
751.6927,4.793716
752.6928,4.796158
753.6927,4.795975
754.6926,4.79689
755.6926,4.797501
756.6924,4.799667
757.6926,4.800247
758.6928,4.799911
759.6927,4.8004
760.693,4.80101
761.6931,4.801834
762.6927,4.803574
763.6929,4.802597
764.6928,4.804859
765.693,4.805286
766.6926,4.806019
767.6928,4.806721
768.6927,4.808765
769.6926,4.809162
770.6925,4.80962
771.6924,4.810749
772.6929,4.810993
773.6925,4.812214
774.6925,4.81319
775.6926,4.814228
776.6926,4.815907
777.6924,4.814564
778.6929,4.816887
779.6928,4.817558
780.6927,4.817406
781.6926,4.818504
782.6931,4.819572
783.6925,4.820427
784.6928,4.82177
785.6923,4.821953
786.6924,4.823418
787.6926,4.824303
788.6928,4.825523
789.6925,4.825371
790.6923,4.827934
791.6931,4.82827
792.6924,4.828728
793.6926,4.829861
794.6925,4.831295
795.6924,4.833401
796.6929,4.833187
797.6929,4.834591
798.6927,4.836117
799.6928,4.83688
800.6928,4.838192
801.6927,4.838741
802.6926,4.839779
803.6925,4.841339
804.693,4.842804
805.6926,4.844482
806.6926,4.845886
807.6923,4.84552
808.6926,4.848328
809.6923,4.848633
810.6927,4.850159
811.6924,4.851807
812.6931,4.852051
813.6924,4.852692
814.6925,4.854923
815.6923,4.855198
816.6925,4.857059
817.6923,4.857029
818.6928,4.857487
819.6925,4.858128
820.6929,4.859806
821.6928,4.859959
822.6929,4.8606
823.6929,4.861576
824.6928,4.86179
825.6925,4.862095
826.693,4.862858
827.6925,4.862583
828.6929,4.863255
829.6924,4.864693
830.6928,4.864723
831.6927,4.864201
832.6923,4.864754
833.6931,4.867439
834.6924,4.866005
835.6926,4.866676
836.6924,4.867165
837.693,4.868111
838.6928,4.869667
839.6923,4.870857
840.6926,4.870857
841.6926,4.871681
842.6928,4.871346
843.6924,4.873238
844.6924,4.873756
845.6928,4.874916
846.6926,4.875313
847.6926,4.876751
848.6926,4.876534
849.6928,4.87669
850.6926,4.876106
851.6929,4.876137
852.6924,4.8773
853.6929,4.876503
854.6925,4.877453
855.6924,4.878216
856.6929,4.87669
857.6931,4.876751
858.6924,4.876534
859.6928,4.87785
860.6928,4.877819
861.6924,4.877514
862.6929,4.878063
863.6928,4.879436
864.693,4.880077
865.6927,4.879559
866.6928,4.880352
867.6931,4.880779
868.6927,4.882244
869.6928,4.882336
870.693,4.883221
871.6929,4.884258
872.6925,4.884716
873.6924,4.885601
874.6924,4.886059
875.6926,4.886364
876.6929,4.885693
877.6926,4.886333
878.6928,4.886974
879.693,4.887402
880.6925,4.885448
881.6928,4.886669
882.6927,4.887371
883.693,4.887859
884.6925,4.88731
885.6925,4.885632
886.6926,4.887096
887.6924,4.885876
888.6928,4.887218
889.6925,4.888134
890.6925,4.886486
891.6928,4.88792
892.6924,4.886852
893.6926,4.88789
894.6929,4.88731
895.6926,4.886913
896.6926,4.887035
897.693,4.888073
898.6926,4.887707
899.6923,4.888042
900.6924,4.888256
901.6927,4.888226
902.6923,4.889236
903.6924,4.889572
904.6929,4.890579
905.6928,4.890213
906.6926,4.890793
907.693,4.891647
908.6928,4.891617
909.6927,4.892349
910.6925,4.894577
911.6925,4.89357
