Test_Time(s),Voltage(V)
1368.6924,4.618275
1369.6926,4.614979
1370.6927,4.613758
1371.693,4.610458
1372.6929,4.60817
1373.6929,4.606613
1374.6923,4.603683
1375.6926,4.600933
1376.6928,4.599133
1377.6927,4.596752
1378.6931,4.594799
1379.6928,4.592358
1380.6924,4.589886
1381.693,4.587715
1382.6925,4.586037
1383.6928,4.585457
1384.693,4.583443
1385.6928,4.581001
1386.6929,4.579201
1387.6929,4.578163
1388.6925,4.576145
1389.6923,4.573948
1390.6925,4.573673
1391.6928,4.571171
1392.6927,4.57056
1393.6924,4.569279
1394.6928,4.567661
1395.6927,4.565525
1396.6926,4.565277
1397.6927,4.565063
1398.6927,4.562042
1399.693,4.560883
1400.6923,4.55957
1401.6924,4.557068
1402.6923,4.556671
1403.6923,4.553528
1404.6924,4.55328
1405.693,4.551022
1406.6928,4.549496
1407.6927,4.548092
1408.6925,4.546474
1409.6927,4.545254
1410.6927,4.543179
1411.693,4.541927
1412.6928,4.539635
1413.6928,4.539207
1414.6927,4.537651
1415.6929,4.535332
1416.6924,4.533318
1417.693,4.532341
1418.6926,4.529686
1419.693,4.528248
1420.6929,4.527088
1421.6925,4.525013
1422.6927,4.523914
1423.6926,4.522419
1424.6926,4.521992
1425.6929,4.519489
1426.6929,4.518726
1427.6928,4.517075
1428.693,4.515213
1429.6927,4.513809
1430.6925,4.511032
1431.6927,4.510971
1432.6926,4.508957
1433.6928,4.508072
1434.6924,4.505814
1435.6926,4.505108
1436.6927,4.503643
1437.6928,4.503521
1438.6929,4.501995
1439.6929,4.500286
1440.6925,4.499065
1441.6927,4.497723
1442.6928,4.496258
1443.693,4.495251
1444.693,4.493786
1445.6925,4.493416
1446.6926,4.49192
1447.6923,4.490425
1448.6926,4.489967
1449.6924,4.488289
1450.6926,4.487953
1451.6924,4.485786
1452.6927,4.486519
1453.6929,4.486305
1454.6925,4.485359
1455.6924,4.48423
1456.6926,4.482094
1457.6925,4.481022
1458.6929,4.480412
1459.6926,4.479008
1460.6927,4.478123
1461.693,4.47617
1462.6927,4.47501
1463.6928,4.472874
1464.6927,4.471592
1465.6929,4.470036
1466.6926,4.469208
1467.6925,4.468842
1468.6929,4.465942
1469.6928,4.465851
1470.6924,4.463898
1471.6924,4.462799
1472.6928,4.463409
1473.693,4.462067
1474.6926,4.461029
1475.6924,4.460968
1476.6925,4.460358
1477.693,4.459106
1478.6926,4.457058
1479.693,4.458649
1480.6926,4.457672
1481.6927,4.457058
1482.6924,4.457241
1483.6924,4.45602
1484.6928,4.454708
1485.6929,4.453518
1486.6926,4.451107
1487.6925,4.451809
1488.6925,4.450649
1489.6926,4.450466
1490.6929,4.448971
1491.6924,4.446987
1492.6926,4.446346
1493.6926,4.446865
1494.6924,4.446346
1495.6926,4.445366
1496.6929,4.444237
1497.6924,4.443169
1498.6924,4.442741
1499.6925,4.441124
1500.6928,4.43972
1501.6924,4.438347
1502.6925,4.437004
1503.6924,4.43618
1504.6926,4.434959
1505.6927,4.433861
1506.6929,4.433094
1507.6924,4.433002
1508.6931,4.431202
1509.6924,4.431049
1510.6926,4.431568
1511.6931,4.431416
1512.6927,4.430225
1513.6929,4.430408
1514.6925,4.429249
1515.6923,4.430439
1516.6924,4.428852
1517.6928,4.42873
1518.693,4.427174
1519.6926,4.427814
1520.6925,4.426655
1521.6927,4.426014
1522.6923,4.426685
1523.6928,4.424946
1524.693,4.424549
1525.6926,4.424335
1526.6929,4.422901
1527.693,4.423206
1528.6929,4.422779
1529.6927,4.420822
1530.6924,4.420456
1531.6926,4.420212
1532.6931,4.419022
1533.693,4.418167
1534.693,4.417435
1535.6925,4.416763
1536.6929,4.416611
1537.6929,4.416214
1538.6929,4.416458
1539.6926,4.416183
1540.6928,4.414902
1541.6929,4.414444
1542.6927,4.414658
1543.6927,4.413773
1544.6927,4.414383
1545.693,4.413712
1546.6926,4.414017
1547.6928,4.414352
1548.6927,4.414108
1549.6924,4.41481
1550.6929,4.414474
1551.6924,4.414322
1552.6924,4.413437
1553.6928,4.414291
1554.693,4.412643
1555.6926,4.412827
1556.6928,4.411728
1557.6928,4.413193
1558.6928,4.410995
1559.6926,4.41069
1560.6924,4.410873
1561.6926,4.409653
1562.6923,4.409161
1563.6929,4.409897
1564.6927,4.409191
1565.6924,4.407146
1566.6925,4.407848
1567.6923,4.407513
1568.6928,4.406597
1569.693,4.407513
1570.6925,4.407024
1571.6926,4.407696
1572.693,4.406597
1573.6926,4.407177
1574.6925,4.406628
1575.6924,4.408276
1576.6926,4.408428
1577.6928,4.408978
1578.6927,4.408489
1579.6926,4.409466
1580.6925,4.409466
1581.6927,4.408428
1582.6924,4.408154
1583.6928,4.408581
1584.6924,4.408123
1585.6927,4.407513
1586.6926,4.408764
1587.6924,4.407299
1588.6926,4.406261
1589.6929,4.40736
1590.693,4.406628
1591.6924,4.406811
1592.6925,4.406567
1593.6924,4.406414
1594.6923,4.407513
1595.6925,4.406017
1596.6928,4.406628
1597.6926,4.405651
1598.6925,4.40675
1599.6924,4.406078
1600.6927,4.406567
1601.6925,4.405834
1602.6924,4.405773
1603.6927,4.406048
1604.6931,4.406445
1605.6926,4.406597
1606.6929,4.407787
1607.6926,4.407635
1608.693,4.408276
1609.6924,4.407604
1610.6928,4.407848
1611.6925,4.407909
1612.6926,4.408855
1613.6924,4.408947
1614.6924,4.409496
1615.6926,4.409618
1616.6928,4.409222
1617.693,4.409191
1618.6923,4.41011
1619.6928,4.409466
1620.6927,4.409527
1621.6927,4.410995
1622.6926,4.410782
1623.6924,4.41243
1624.6924,4.412186
1625.6927,4.412338
1626.6927,4.411728
1627.6924,4.414383
1628.6929,4.414322
1629.6926,4.41478
1630.6928,4.416092
1631.693,4.415573
1632.6924,4.416122
1633.6924,4.417007
1634.6928,4.418411
1635.6924,4.418961
1636.6926,4.418442
1637.6925,4.419205
1638.6929,4.421219
1639.6926,4.421066
1640.6928,4.420609
1641.6926,4.422535
1642.6926,4.42284
1643.6928,4.423084
1644.6927,4.422657
1645.6926,4.422474
1646.6924,4.423817
1647.6924,4.422871
1648.6929,4.423786
1649.6927,4.423695
1650.6929,4.423603
1651.6927,4.423939
1652.6929,4.42403
1653.6924,4.425282
1654.6925,4.42696
1655.6925,4.42757
1656.6924,4.427814
1657.6926,4.428272
1658.6928,4.429188
1659.6928,4.429676
1660.6926,4.430866
1661.6925,4.432331
1662.6928,4.431965
1663.6929,4.432941
1664.6928,4.435509
1665.6927,4.43557
1666.6923,4.435295
1667.6924,4.436546
1668.6929,4.437126
1669.6924,4.438652
1670.6929,4.439384
1671.6924,4.4403
1672.6924,4.441673
1673.6923,4.442741
1674.6924,4.443108
1675.693,4.44445
1676.6929,4.445274
1677.6925,4.446316
1678.6929,4.447231
1679.6928,4.447598
1680.6928,4.448513
1681.6927,4.450649
1682.6928,4.450314
1683.6928,4.450619
1684.6929,4.452358
1685.6927,4.45187
1686.6924,4.453793
1687.6924,4.453548
1688.6925,4.454739
1689.6924,4.455349
1690.6928,4.455715
1691.6925,4.456875
1692.6924,4.45813
1693.6927,4.45813
1694.6927,4.459595
1695.6928,4.460815
1696.6925,4.46051
1697.6929,4.46228
1698.6929,4.46225
1699.6926,4.463715
1700.6928,4.464905
1701.6925,4.466309
1702.6925,4.467468
1703.6926,4.468445
1704.6923,4.469791
1705.6928,4.470341
1706.6926,4.470676
1707.6924,4.472599
1708.6926,4.473911
1709.6923,4.475895
1710.6927,4.476475
1711.693,4.479038
1712.6925,4.479893
1713.693,4.481606
1714.6923,4.48304
1715.6927,4.484352
1716.693,4.485847
1717.6924,4.487617
1718.6929,4.487648
1719.6927,4.488716
1720.6926,4.491035
1721.6926,4.492867
1722.6929,4.493755
1723.6926,4.495342
1724.6925,4.496502
1725.6925,4.49934
1726.6923,4.500286
1727.6931,4.502361
1728.6924,4.504009
1729.6929,4.505478
1730.6925,4.506638
1731.6924,4.50856
1732.693,4.509598
1733.6926,4.511734
1734.6924,4.51326
1735.6924,4.516983
1736.6928,4.517445
1737.6928,4.519154
1738.693,4.521564
1739.6923,4.523914
1740.6926,4.524403
1741.6927,4.52779
1742.6923,4.528522
1743.6929,4.531364
1744.6927,4.533592
1745.6929,4.535973
1746.693,4.53701
1747.6925,4.53997
1748.6923,4.542049
1749.6929,4.543972
1750.6923,4.54501
1751.6923,4.548824
1752.693,4.550747
1753.6927,4.552212
1754.6923,4.55423
1755.693,4.558136
1756.6927,4.560425
1757.6928,4.563782
1758.6929,4.564453
1759.693,4.567295
1760.6923,4.569431
1761.6929,4.573917
1762.693,4.574986
1763.6926,4.578316
1764.693,4.581978
1765.6927,4.585426
1766.693,4.588905
1767.6929,4.591106
1768.6925,4.596111
1769.6924,4.598858
1770.6925,4.601273
1771.6926,4.604324
1772.6924,4.608231
1773.693,4.61174
1774.6927,4.615406
1775.6924,4.620594
1776.6926,4.623035
1777.6926,4.627251
1778.6926,4.631035
1779.6927,4.635887
1780.6929,4.6394
1781.6927,4.64352
1782.6927,4.648373
1783.6927,4.652161
1784.6924,4.657837
1785.6931,4.662083
1786.6928,4.667179
1787.6928,4.671391
1788.6931,4.67585
1789.6928,4.682808
1790.6923,4.687572
1791.6926,4.693249
1792.6925,4.6996
1793.6925,4.705338
1794.6929,4.711445
1795.6929,4.719013
1796.6927,4.724663
1797.6924,4.732628
1798.6929,4.739864
1799.6926,4.746643
1800.6927,4.754395
1801.6927,4.76273
1802.6929,4.771523
1803.6926,4.779793
1804.6926,4.788799
1805.6925,4.798538
1806.693,4.81023
1807.6926,4.821159
1808.6928,4.833614
1809.6927,4.845551
1810.6926,4.85886
1811.6929,4.871651
1812.693,4.887646
1813.6926,4.902302
1814.6926,4.918877
1815.6924,4.935513
1816.6927,4.954411
1817.6928,4.974682
1818.693,4.994766
1819.6926,5.018211
1820.6929,5.042633
1821.6924,5.068859
1822.6929,5.097401
1823.6928,5.126369
1824.6928,5.157936
1825.6926,5.192921
1826.6926,5.231659
1827.6927,5.27327
1828.6929,5.317806
1829.6927,5.365093
1830.693,5.410122
1831.6928,5.458721
1832.007,5.475327
1833.6462,3.987823
1834.6462,3.945606
1835.6463,3.917641
1836.6464,3.895878
1837.6461,3.877682
1838.6461,3.863091
1839.6464,3.848194
1840.6464,3.838272
1841.6463,3.826916
1842.6463,3.817543
1843.6466,3.807652
1844.646,3.798923
1845.6464,3.791901
1846.6464,3.784084
1847.6461,3.777706
1848.6462,3.770714
1849.6465,3.76516
1850.6461,3.758717
1851.6462,3.75246
1852.6464,3.748123
1853.6461,3.741959
1854.6463,3.737499
1855.6465,3.732586
1856.6464,3.727154
1857.6463,3.723183
1858.6466,3.718788
1859.6466,3.714848
1860.6462,3.710087
1861.6466,3.706242
1862.6461,3.702148
1863.6466,3.697418
1864.6464,3.694672
1865.6462,3.690884
1866.646,3.688595
1867.6464,3.684322
1868.6463,3.680264
1869.6463,3.67852
1870.6461,3.675011
1871.6461,3.672234
1872.6462,3.668602
1873.6465,3.665211
1874.6461,3.662556
1875.6461,3.659016
1876.6466,3.657825
1877.6462,3.654099
1878.6463,3.650833
1879.6466,3.649216
1880.6462,3.645706
1881.6463,3.642651
1882.6464,3.640636
1883.6462,3.638714
1884.6462,3.635845
1885.6461,3.632977
1886.646,3.630043
1887.6462,3.627968
1888.6464,3.627022
1889.6463,3.624184
1890.6464,3.621407
1891.646,3.620369
1892.6464,3.61652
1893.6465,3.614811
1894.646,3.611881
1895.6461,3.611362
1896.6462,3.60886
1897.6465,3.605865
1898.6464,3.604065
1899.6464,3.602997
1900.646,3.600464
1901.6461,3.597595
1902.6462,3.596283
1903.6465,3.594112
1904.646,3.592159
1905.6462,3.590725
1906.6461,3.588406
1907.6461,3.586147
1908.6462,3.584225
1909.6465,3.584011
1910.6463,3.581078
1911.6463,3.579155
1912.6464,3.576897
1913.6461,3.575951
1914.6463,3.573692
1915.6465,3.572044
1916.6466,3.570393
1917.6462,3.568867
1918.646,3.567036
1919.6463,3.566334
1920.6462,3.564991
1921.6466,3.562641
1922.646,3.561298
1923.6466,3.559559
1924.6462,3.558365
1925.6463,3.555923
1926.6463,3.554489
1927.6463,3.553146
1928.6464,3.551804
1929.6463,3.550461
1930.6464,3.548538
1931.6464,3.546825
1932.6465,3.544659
1933.6462,3.544323
1934.6463,3.542034
1935.6465,3.540722
1936.6461,3.5406
1937.646,3.539013
1938.6463,3.536938
1939.6465,3.535961
1940.646,3.533913
1941.6463,3.53199
1942.6464,3.53022
1943.6466,3.530525
1944.6466,3.528358
1945.6464,3.526314
1946.6462,3.525673
1947.6465,3.525063
1948.6464,3.523228
1949.646,3.522038
1950.6463,3.520298
1951.6461,3.518894
1952.646,3.517399
1953.6463,3.516911
1954.6465,3.515659
1955.6463,3.514256
1956.6462,3.512302
1957.646,3.511078
1958.6464,3.510712
1959.6466,3.508514
1960.6462,3.508453
1961.6462,3.506226
1962.6462,3.505707
1963.6465,3.504242
1964.646,3.502625
1965.6462,3.501495
1966.6464,3.500275
1967.6461,3.499817
1968.6465,3.497555
1969.646,3.49725
1970.6461,3.494808
1971.6464,3.4949
1972.6464,3.492764
1973.6466,3.493374
1974.6463,3.490871
1975.6464,3.490597
1976.6466,3.488888
1977.6464,3.488064
1978.6461,3.48782
1979.6463,3.486351
1980.6462,3.484184
1981.6465,3.483269
1982.646,3.482841
1983.6465,3.481285
1984.6464,3.48159
1985.6461,3.479576
1986.6465,3.478752
1987.6461,3.47744
1988.646,3.476097
1989.6464,3.474751
1990.6464,3.474201
1991.6463,3.473194
1992.6465,3.471882
1993.6466,3.470509
1994.6466,3.470387
1995.6466,3.467976
1996.6464,3.466602
1997.6466,3.465961
1998.6466,3.464863
1999.6465,3.464405
2000.6466,3.462692
2001.6462,3.462326
2002.6461,3.461624
2003.6461,3.459885
2004.6462,3.459518
2005.6464,3.458542
2006.6466,3.456528
2007.6462,3.455917
2008.6464,3.45491
2009.6466,3.453964
2010.6463,3.454666
2011.646,3.451736
2012.646,3.452316
2013.6462,3.449902
2014.6464,3.450207
2015.6462,3.447613
2016.6462,3.448559
2017.6461,3.447735
2018.646,3.445446
2019.6463,3.444927
2020.6464,3.443249
2021.6464,3.444134
2022.6466,3.443401
2023.6466,3.441906
2024.646,3.440166
2025.646,3.439648
2026.6461,3.438148
2027.6463,3.437599
2028.6462,3.43708
2029.6465,3.436714
2030.6461,3.435005
2031.646,3.433754
2032.6461,3.43354
2033.6463,3.431831
2034.6463,3.430977
2035.6461,3.43
2036.646,3.429512
2037.6462,3.428261
2038.6464,3.427555
2039.646,3.428261
2040.6463,3.426395
2041.6461,3.425022
2042.6463,3.424351
2043.6465,3.422886
2044.6464,3.423496
2045.6463,3.422337
2046.6463,3.420902
2047.646,3.419346
2048.646,3.418095
2049.6463,3.41785
2050.646,3.416782
2051.6463,3.415684
2052.6466,3.414886
2053.6464,3.414398
2054.6463,3.412537
2055.6465,3.411835
2056.6465,3.41153
2057.6462,3.411041
2058.6465,3.409821
2059.6462,3.409485
2060.6466,3.408539
2061.6462,3.407318
2062.646,3.405792
2063.646,3.405701
2064.6462,3.40448
2065.6461,3.403591
2066.6462,3.402248
2067.6464,3.402584
2068.6464,3.400387
2069.6463,3.401669
2070.6464,3.4006
2071.6464,3.398617
2072.646,3.398098
2073.6465,3.397213
2074.6463,3.396053
2075.6461,3.394436
2076.6462,3.393612
2077.6465,3.393276
2078.6461,3.39138
2079.6464,3.391533
2080.6464,3.389946
2081.6462,3.388939
2082.6465,3.387657
2083.6465,3.387291
2084.646,3.387016
2085.6462,3.385521
2086.6464,3.384758
2087.6466,3.383415
2088.6462,3.382774
2089.6461,3.382683
2090.6461,3.381828
2091.6462,3.380882
2092.6464,3.379814
2093.6461,3.378254
2094.6463,3.377857
2095.6464,3.377583
2096.6463,3.376514
2097.6463,3.375111
2098.6466,3.374378
2099.646,3.373646
2100.6462,3.372791
2101.6461,3.371082
2102.6466,3.370197
2103.6463,3.369984
2104.6464,3.368427
2105.6464,3.36763
2106.6463,3.366714
2107.6464,3.365646
2108.6462,3.364944
2109.6465,3.3647
2110.6466,3.363174
2111.6463,3.361282
2112.6466,3.36113
2113.6462,3.359909
2114.646,3.359451
2115.6464,3.357101
2116.6466,3.357315
2117.6461,3.356766
2118.6462,3.356033
2119.6465,3.354382
2120.6461,3.352764
2121.6462,3.352093
2122.6466,3.350658
2123.646,3.35191
2124.6463,3.349957
2125.6461,3.348583
2126.6461,3.34663
2127.6463,3.346539
2128.6462,3.344982
2129.6466,3.344036
2130.6463,3.341988
2131.6464,3.341682
2132.6463,3.341103
2133.6465,3.341408
2134.6465,3.338905
2135.6464,3.33802
2136.6463,3.338112
2137.6465,3.336372
2138.6463,3.335396
2139.6462,3.333992
2140.6464,3.333015
2141.6466,3.33268
2142.6464,3.329777
2143.646,3.322178
2144.6463,3.284477
2145.6464,3.006615
2146.6464,2.17783
2147.6461,1.797794
2148.6463,1.231331
2149.6464,0.9494133
2150.646,0.7933273
2151.6463,0.6201134
2152.6464,0.5198631
2153.6463,0.4469337
2154.6465,0.3793144
2155.6461,0.3151169
2156.6463,0.2770767
2157.6463,0.2697525
2158.646,0.250885
2159.6462,0.2426147
2160.6465,0.2362328
2161.6461,0.2347374
2162.646,0.2275314
2163.6463,0.2175179
2164.6464,0.207386
2165.6463,0.1967316
2166.6462,0.1821671
2167.6461,0.16959
2168.6464,0.1641579
2169.6465,0.1604042
2170.6466,0.1533203
2171.6461,0.1484985
2172.6464,0.1487122
2173.6464,0.149231
2174.6462,0.1532288
2175.6463,0.1525879
2176.6464,0.1488037
2177.6466,0.1447716
2178.6462,0.1388817
2179.6462,0.1380882
2180.6463,0.1332321
2181.6465,0.1288681
2182.646,0.1271286
2183.6461,0.1225815
2184.6464,0.11092
2185.6464,0.09840012
2186.6462,0.08609772
2187.6464,0.07456207
2188.6465,0.0643959
2189.6463,0.05853271
2190.6465,0.05429077
2191.6462,0.05013657
2192.646,0.04824448
2193.6462,0.04525375
2194.6464,0.04339218
2195.6463,0.04195786
2196.6465,0.04137802
2197.6466,0.03976059
2198.6463,0.0394249
2199.6463,0.03728485
2200.646,0.03572845
2201.646,0.03557587
2202.6462,0.03520966
2203.6464,0.03316498
2204.6463,0.03362274
2205.6465,0.03249359
2206.6462,0.03212738
2207.6463,0.03200531
2208.6465,0.03118134
2209.6465,0.02974701
2210.6463,0.02968597
2211.6461,0.02852631
2212.6465,0.02819061
2213.6462,0.02706146
2214.6463,0.02681732
2215.646,0.0264473
2216.6461,0.02663422
2217.6464,0.02531815
2218.6461,0.02492142
2219.6466,0.02428055
2220.6466,0.02492142
2221.6461,0.02394485
2222.6462,0.02342606
2223.6466,0.02299881
2224.6464,0.02147293
2225.6461,0.02226639
2226.6463,0.02223587
2227.6462,0.02116776
2228.6461,0.02135086
2229.6466,0.02128983
2230.6461,0.02009964
2231.6463,0.02009964
2232.6465,0.02013016
2233.6464,0.02016068
2234.646,0.02019119
2235.6466,0.0198555
2236.6461,0.02028275
2237.6461,0.01869583
2238.6462,0.01802444
2239.6462,0.01839066
2240.6461,0.01784134
2241.6464,0.01790237
2242.6464,0.01784134
2243.6463,0.01753616
2244.6462,0.01619339
2245.646,0.01662064
2246.6463,0.01671219
2247.6464,0.01607132
2248.6461,0.0158577
2249.6466,0.01530838
2250.6465,0.01555252
2251.646,0.01469803
2252.6461,0.01512527
2253.6464,0.01506424
2254.6464,0.01411438
2255.6462,0.01460266
2256.6462,0.01408386
2257.6464,0.01261902
2258.6461,0.01420593
2259.6465,0.0131073
2260.6461,0.01182556
2261.6461,0.01301575
2262.6465,0.01313782
2263.6461,0.01185608
2264.6461,0.01203918
2265.6463,0.01106262
2266.646,0.01185608
2267.6464,0.01078796
2268.6464,0.01051331
2269.6465,0.01094055
2270.6461,0.01109314
2271.6465,0.01063538
2272.6462,0.01026917
2273.6465,0.01011658
2274.6464,0.009841919
2275.6463,0.009414673
2276.6465,0.009170532
2277.6461,0.008987427
2278.6463,0.008102417
2279.6464,0.008255005
2280.6461,0.008804321
2281.6463,0.008285522
2282.6465,0.008590698
2283.6461,0.008224487
2284.6466,0.007522583
2285.6465,0.007705688
2286.6464,0.007553101
2287.6464,0.00743103
2288.646,0.007003784
2289.6465,0.005691528
2290.6464,0.006668091
2291.6463,0.006576538
2292.6463,0.006484985
2293.6465,0.005691528
2294.6465,0.006820679
2295.6465,0.006149292
2296.6464,0.005386353
2297.6461,0.004928589
2298.6463,0.006027222
2299.6461,0.005020142
2300.6463,0.005233765
2301.6464,0.005172729
2302.6463,0.003829956
2303.6463,0.003982544
2304.646,0.004562378
2305.6461,0.003860474
2306.6464,0.003799438
2307.646,0.003250122
2308.646,0.003005981
2309.646,0.003311157
2310.6462,0.003189087
2311.6464,0.002944946
2312.646,0.003128052
2313.6463,0.001876831
2314.6465,0.002487183
2315.6462,0.001663208
2316.6464,0.002700806
2317.6463,0.002426147
2318.6461,0.002578735
2319.6464,0.002304077
2320.6465,0.001846313
2321.6462,0.001876831
2322.6464,0.001144409
2323.646,0.001083374
2324.6466,0.001876831
2325.6462,0.001174927
2326.6465,0.001602173
2327.6464,0.000686646
2328.6464,0.001174927
2329.646,0.000656128
2330.6464,0.000442505
2331.6462,0.000320435
2332.6463,0.000198364
2333.6465,0.000686646
2334.6461,0.000137329
2335.6466,-7.6294E-05
2336.646,-1.52588E-05
2337.6466,-0.000686646
2338.6464,-0.000534058
2339.2399,0.01793289
