sample_idx,rmse
0,0.3494114817574757
1,0.26377091000683084
2,0.31136405437739395
3,0.3370310221014297
4,0.3144241058845052
5,0.3416453656193785
6,0.3180331804101038
7,0.346941589192974
8,0.3435407527606204
9,0.3475240871913085
10,0.3494114817574757
11,0.3497066581087818
12,0.34942342584379427
13,0.3494114817574757
14,0.34977769832840544
15,0.3494114817574757
16,0.34941153991713886
17,0.3489216617195244
18,0.3494470440863559
19,0.3494077571129513
20,0.3494114817574757
21,0.34940581052502206
22,0.3499996935022885
23,0.26018414798760325
24,0.07977333670910627
25,0.08742002780571186
26,0.07223770929665996
27,0.09894053208415052
28,0.09906695980764006
29,0.09751083220148409
30,0.09677420728973474
31,0.09179487547231675
32,0.09869603052007955
33,0.09880537111220117
34,0.0987027442464131
35,0.09869603052007955
36,0.09890139694612364
37,0.09869603052007955
38,0.09869606614600186
39,0.09831556435979218
40,0.09871445499903067
41,0.09869409156384852
42,0.09869603052007955
43,0.09867880345061023
44,0.10000345385292676
45,0.09869603052007955
46,0.09697754305464229
47,0.08815469923402741
48,0.08365255707451005
49,0.07719499703612255
50,0.05767370775773561
51,0.09700032544378434
52,0.096590029152048
53,0.09888474628048395
54,0.09962136908800588
55,0.09494828678257577
56,0.09697754305464229
57,0.09769131633576725
58,0.09696303026225264
59,0.09697754305464229
60,0.09672067991248237
61,0.09697754305464229
62,0.09697744697543591
63,0.09632232753617065
64,0.09692849937587625
65,0.09697437559049454
66,0.09697754305464229
67,0.09700852140632682
68,0.0912537523905942
69,0.2723744802690631
70,0.27275106516582504
71,0.2318019192529813
72,0.2207873826909835
73,0.2932025658014279
74,0.28339309616131686
75,0.2949094236925645
76,0.2786665703276461
77,0.2930410154056259
78,0.29311653615648026
79,0.2940225431422398
80,0.2931049933010196
81,0.29311653615648026
82,0.2928889543260424
83,0.29311653615648026
84,0.2931164728025043
85,0.2936619343395394
86,0.2930911216596103
87,0.29311366703693786
88,0.29311653615648026
89,0.29313197273101055
90,0.2934429916101629
91,0.29311653615648026
92,0.09125932587433346
93,0.25038569159591917
94,0.07700479657664959
95,0.0825036815926698
96,0.10358753031580427
97,0.09068201449060656
98,0.09760333318557181
99,0.09227273807413101
100,0.2644921744092436
101,0.09164510668918933
102,0.09125932587433346
103,0.09145464419411561
104,0.09127378320854967
105,0.09125932587433346
106,0.09173681579401025
107,0.09125932587433346
108,0.09125922637606483
109,0.09132172683157924
110,0.09128722187568414
111,0.09125949616252425
112,0.09126322977001156
113,0.09124795505967354
114,0.09099359720316344
115,0.08903682508212882
116,0.03623063395622829
117,0.10917983819731064
118,0.08203340217121789
119,0.08162823064409674
120,0.08204724580544918
121,0.08210129051849013
122,0.0951273289931292
123,0.0817419108667389
124,0.08167212457086226
125,0.08177204716505435
126,0.08167970627709184
127,0.08167212457086226
128,0.08190781259183233
129,0.08167212457086226
130,0.08167197186928529
131,0.08170833497300678
132,0.08169095388548785
133,0.08167219266292876
134,0.08167408467280128
135,0.08165413812269555
136,0.08135711587445864
137,0.08167212457086226
